species,component,mean_e,min_e,max_e
B,rr,0.3967415706523542,0.3949361800119657,0.39861741995673894
B,tt,1.2558982345826726,1.2530934188476515,1.258614075015598
B,zz,2.745462261066136,2.745441839075826,2.7454791957358227
N,rr,-0.4744156996347798,-0.47638869346870183,-0.4724841638865618
N,tt,-1.178224105600247,-1.1798377420649557,-1.1764838418821943
N,zz,-2.7454622610661366,-2.7454638359975276,-2.7454596486826497
