atom,species,Zxx,Zxy,Zxz,Zyx,Zyy,Zyz,Zzx,Zzy,Zzz
1,B,0.39861741995673894,-7.709882115452476e-19,0.11861896804248319,-1.5419764230904951e-18,1.2530934188476515,-8.673617379884035e-19,0.3418060677814462,8.1917497476682555e-19,2.7454771082580507
2,B,0.4990165175418397,-0.2781538169984085,0.11106804948894858,-0.2772066561987998,1.1534400955840982,0.0392700284578493,0.3211979531821212,0.11689977205584252,2.745441839075826
3,B,0.752635590278737,-0.42559123397726817,0.08965674128376125,-0.42526468149615143,0.9009146647488266,0.07474311743180805,0.2618402022712693,0.21970467723142195,2.745477098411151
4,B,1.0400812116719604,-0.3736982407190031,0.05775360391453461,-0.37452978568811657,0.6129863290540261,0.1019253057165775,0.17090380955142287,0.2960152737921429,2.7454434874457876
5,B,1.2273797104305146,-0.1474381401407922,0.019855887228459324,-0.1480592136886251,0.4245695848454224,0.11670889472270574,0.05935400192137483,0.3366172325884072,2.7454791957358227
6,B,1.2273797104305146,0.1474381401407922,-0.01985588722845933,0.1480592136886251,0.4245695848454224,0.11670889472270574,-0.05935400192137483,0.3366172325884072,2.7454791957358227
7,B,1.0400812116719604,0.3736982407190031,-0.05775360391453461,0.37452978568811657,0.6129863290540261,0.1019253057165775,-0.17090380955142287,0.2960152737921429,2.7454434874457876
8,B,0.752635590278737,0.42559123397726817,-0.08965674128376125,0.42526468149615143,0.9009146647488266,0.07474311743180805,-0.2618402022712693,0.21970467723142195,2.745477098411151
9,B,0.4990165175418397,0.2781538169984085,-0.11106804948894858,0.2772066561987998,1.1534400955840982,0.0392700284578493,-0.3211979531821212,0.11689977205584252,2.745441839075826
10,B,0.39861741995673894,-7.709882115452476e-19,-0.11861896804248319,-1.5419764230904951e-18,1.2530934188476515,-8.673617379884035e-19,-0.3418060677814462,8.1917497476682555e-19,2.7454771082580507
11,B,0.4990165175418397,-0.2781538169984085,-0.11106804948894858,-0.2772066561987998,1.1534400955840982,-0.0392700284578493,-0.3211979531821212,-0.11689977205584252,2.745441839075826
12,B,0.752635590278737,-0.42559123397726817,-0.08965674128376125,-0.42526468149615143,0.9009146647488266,-0.07474311743180805,-0.2618402022712693,-0.21970467723142195,2.745477098411151
13,B,1.0400812116719604,-0.3736982407190031,-0.05775360391453461,-0.37452978568811657,0.6129863290540261,-0.1019253057165775,-0.17090380955142287,-0.2960152737921429,2.7454434874457876
14,B,1.2273797104305146,-0.1474381401407922,-0.01985588722845933,-0.1480592136886251,0.4245695848454224,-0.11670889472270574,-0.05935400192137483,-0.3366172325884072,2.7454791957358227
15,B,1.2273797104305146,0.1474381401407922,0.019855887228459324,0.1480592136886251,0.4245695848454224,-0.11670889472270574,0.05935400192137483,-0.3366172325884072,2.7454791957358227
16,B,1.0400812116719604,0.3736982407190031,0.05775360391453461,0.37452978568811657,0.6129863290540261,-0.1019253057165775,0.17090380955142287,-0.2960152737921429,2.7454434874457876
17,B,0.752635590278737,0.42559123397726817,0.08965674128376125,0.42526468149615143,0.9009146647488266,-0.07474311743180805,0.2618402022712693,-0.21970467723142195,2.745477098411151
18,B,0.4990165175418397,0.2781538169984085,0.11106804948894858,0.2772066561987998,1.1534400955840982,-0.0392700284578493,0.3211979531821212,-0.11689977205584252,2.745441839075826
19,N,-0.5582357409120059,0.22724131609950085,0.03979320749749668,0.22759384636400398,-1.0944589011045973,0.014183582641180921,0.03410312100020978,0.012427548594531249,-2.7454638359975276
20,N,-0.7653753662091447,0.34835090425534415,0.03219314236275729,0.3484784659803385,-0.8869465397423729,0.026890449680649724,0.027812421346433632,0.023341665898480614,-2.7454596486826497
21,N,-1.0012361475428704,0.3065480755480915,0.020818409734601886,0.3062352569941419,-0.651239341732254,0.0365521691605861,0.018157650558639445,0.03143876443738548,-2.745463792678466
22,N,-1.155380138503049,0.12112045129696812,0.007180938496276162,0.12091343493240139,-0.4975706801358776,0.0417978563405083,0.006306599999618143,0.035736550167421034,-2.7454620139641848
23,N,-1.155380138503049,-0.12112045129696812,-0.0071809384962761656,-0.12091343493240139,-0.4975706801358776,0.0417978563405083,-0.006306599999618141,0.035736550167421034,-2.7454620139641848
24,N,-1.0012361475428704,-0.3065480755480915,-0.020818409734601893,-0.3062352569941419,-0.651239341732254,0.0365521691605861,-0.018157650558639445,0.03143876443738548,-2.745463792678466
25,N,-0.7653753662091447,-0.34835090425534415,-0.03219314236275729,-0.3484784659803385,-0.8869465397423729,0.026890449680649724,-0.027812421346433632,0.023341665898480614,-2.7454596486826497
26,N,-0.5582357409120059,-0.22724131609950085,-0.03979320749749668,-0.22759384636400398,-1.0944589011045973,0.014183582641180921,-0.03410312100020978,0.012427548594531249,-2.7454638359975276
27,N,-0.47638869346870183,-7.709882115452476e-19,-0.04248613605568577,-1.5419764230904951e-18,-1.1764838418821943,-8.673617379884035e-19,-0.036308778795429104,8.1917497476682555e-19,-2.7454617669495724
28,N,-0.5582357409120059,0.22724131609950085,-0.03979320749749668,0.22759384636400398,-1.0944589011045973,-0.014183582641180921,-0.03410312100020978,-0.012427548594531249,-2.7454638359975276
29,N,-0.7653753662091447,0.34835090425534415,-0.03219314236275729,0.3484784659803385,-0.8869465397423729,-0.026890449680649724,-0.027812421346433632,-0.023341665898480614,-2.7454596486826497
30,N,-1.0012361475428704,0.3065480755480915,-0.020818409734601893,0.3062352569941419,-0.651239341732254,-0.0365521691605861,-0.018157650558639445,-0.03143876443738548,-2.745463792678466
31,N,-1.155380138503049,0.12112045129696812,-0.0071809384962761656,0.12091343493240139,-0.4975706801358776,-0.0417978563405083,-0.006306599999618141,-0.035736550167421034,-2.7454620139641848
32,N,-1.155380138503049,-0.12112045129696812,0.007180938496276162,-0.12091343493240139,-0.4975706801358776,-0.0417978563405083,0.006306599999618143,-0.035736550167421034,-2.7454620139641848
33,N,-1.0012361475428704,-0.3065480755480915,0.020818409734601886,-0.3062352569941419,-0.651239341732254,-0.0365521691605861,0.018157650558639445,-0.03143876443738548,-2.745463792678466
34,N,-0.7653753662091447,-0.34835090425534415,0.03219314236275729,-0.3484784659803385,-0.8869465397423729,-0.026890449680649724,0.027812421346433632,-0.023341665898480614,-2.7454596486826497
35,N,-0.5582357409120059,-0.22724131609950085,0.03979320749749668,-0.22759384636400398,-1.0944589011045973,-0.014183582641180921,0.03410312100020978,-0.012427548594531249,-2.7454638359975276
36,N,-0.47638869346870183,-7.709882115452476e-19,0.04248613605568577,-1.5419764230904951e-18,-1.1764838418821943,-8.673617379884035e-19,0.036308778795429104,8.1917497476682555e-19,-2.7454617669495724
