     1    Mg        1.8955801631
        1.8955814525        0.0000000032        0.0000000055
       -0.0000029001        1.8955797508        0.0000000020
       -0.0000019521       -0.0000072967        1.8955792860
     2    Mg        1.8955801601
        1.8955814446       -0.0000000003        0.0000000102
       -0.0000029024        1.8955797497        0.0000000027
       -0.0000019524       -0.0000072967        1.8955792861
     3    Mg        1.8955801629
        1.8955814547       -0.0000000053       -0.0000000069
       -0.0000028991        1.8955797483       -0.0000000023
       -0.0000019520       -0.0000072969        1.8955792855
     4    Mg        1.8955801654
        1.8955814600        0.0000000033       -0.0000000099
       -0.0000028975        1.8955797509       -0.0000000027
       -0.0000019518       -0.0000072966        1.8955792855
     5    O        -1.8047034339
       -1.8047049639       -0.0000000167        0.0000000399
        0.0000023314       -1.8047023542        0.0000000121
        0.0000017181        0.0000064031       -1.8047029835
     6    O        -1.8047034316
       -1.8047049504       -0.0000000250       -0.0000000390
        0.0000023386       -1.8047023578       -0.0000000119
        0.0000017192        0.0000064039       -1.8047029866
     7    O        -1.8047034299
       -1.8047049614        0.0000000189       -0.0000000172
        0.0000023341       -1.8047023429       -0.0000000054
        0.0000017179        0.0000064066       -1.8047029855
     8    O        -1.8047034218
       -1.8047049376        0.0000000216        0.0000000174
        0.0000023389       -1.8047023432        0.0000000054
        0.0000017187        0.0000064078       -1.8047029847

Sum of Born charges:        0.3635059985
