# Z-direction plane-averaged electrostatic potential
# iz   z(Angstrom)   V_avg(eV)
   208       16.80949735      -12.73933968
   209       16.89031224      -12.02238939
   210       16.97112713      -10.99239434
   211       17.05194202       -9.73204427
   212       17.13275692       -8.34275763
   213       17.21357181       -6.92618702
   214       17.29438670       -5.56136987
   215       17.37520159       -4.29849143
   216       17.45601648       -3.16434973
   217       17.53683137       -2.17645284
   218       17.61764626       -1.33890561
   219       17.69846115       -0.64402071
   220       17.77927604       -0.08296300
   221       17.86009094        0.35492967
   222       17.94090583        0.68370749
   223       18.02172072        0.91031322
   224       18.10253561        1.03345040
   225       18.18335050        1.04447334
   226       18.26416539        0.93471483
   227       18.34498028        0.68897840
   228       18.42579517        0.28641989
   229       18.50661006       -0.30661302
   230       18.58742496       -1.08608366
   231       18.66823985       -1.99918200
   232       18.74905474       -2.99731628
   233       18.82986963       -4.02935742
   234       18.91068452       -5.07191671
   235       18.99149941       -6.07500430
   236       19.07231430       -6.95120328
   237       19.15312919       -7.61286159
   238       19.23394408       -8.00498696
   239       19.31475898       -8.10696735
   240       19.39557387       -7.92120696
   241       19.47638876       -7.47450873
   242       19.55720365       -6.82676859
   243       19.63801854       -6.07362187
   244       19.71883343       -5.31293605
   245       19.79964832       -4.61030148
   246       19.88046321       -3.99987206
   247       19.96127810       -3.54587984
   248       20.04209300       -3.31234982
   249       20.12290789       -3.36101858
   250       20.20372278       -3.71483799
   251       20.28453767       -4.34050036
   252       20.36535256       -5.19879430
   253       20.44616745       -6.24601085
   254       20.52698234       -7.42952932
   255       20.60779723       -8.66814842
   256       20.68861212       -9.85679466
   257       20.76942702      -10.88008927
   258       20.85024191      -11.63699034
   259       20.93105680      -12.05642449
   260       21.01187169      -12.10870871
   261       21.09268658      -11.80258194
   262       21.17350147      -11.18833685
   263       21.25431636      -10.35457972
   264       21.33513125       -9.42419303
   265       21.41594614       -8.53418863
   266       21.49676104       -7.81968076
   267       21.57757593       -7.36406389
   268       21.65839082       -7.16163135
   269       21.73920571       -7.18714018
   270       21.82002060       -7.39829244
   271       21.90083549       -7.75780750
   272       21.98165038       -8.20946667
   273       22.06246527       -8.64919186
   274       22.14328016       -8.95830581
   275       22.22409506       -9.04343201
   276       22.30490995       -8.85828636
   277       22.38572484       -8.38722981
   278       22.46653973       -7.64172321
   279       22.54735462       -6.66033308
   280       22.62816951       -5.52178140
   281       22.70898440       -4.31675731
   282       22.78979929       -3.11347420
   283       22.87061418       -1.93413822
   284       22.95142908       -0.81594715
   285       23.03224397        0.19506285
   286       23.11305886        1.05239359
   287       23.19387375        1.73159873
   288       23.27468864        2.26726631
   289       23.35550353        2.69173688
   290       23.43631842        3.02960138
   291       23.51713331        3.29734194
   292       23.59794820        3.50909149
   293       23.67876310        3.67617270
   294       23.75957799        3.80796331
   295       23.84039288        3.91168796
   296       23.92120777        3.99329914
   297       24.00202266        4.05747080
   298       24.08283755        4.10784350
   299       24.16365244        4.14742067
   300       24.24446733        4.17839411
   301       24.32528222        4.20271357
   302       24.40609712        4.22165317
   303       24.48691201        4.23650666
   304       24.56772690        4.24798736
   305       24.64854179        4.25698057
   306       24.72935668        4.26385061
