   -3.7860613579    0.0000000321   -0.0000000658
    0.0000004967   -0.5143340335   -0.0793075697
    0.0000007189   -0.0983112376   -0.1991880191
    4.3409742089    0.0000000359    0.0000000300
   -0.0000009102    1.1426785653    0.0432983540
   -0.0000007658   -0.2013911389    0.3670462075
   -3.4300505571   -0.0000000842    0.0000000120
    0.0000003046   -0.8594872008   -0.0582699436
   -0.0000004110    0.2265880134   -0.2764160881
   -3.2597732984    0.0000001735   -0.0000000068
    0.0000005717   -0.7675197796   -0.1886785798
    0.0000001069   -0.3857666460   -0.5614804408
    6.1349115972   -0.0000002197   -0.0000000509
   -0.0000007915    0.9986624231    0.2829577766
   -0.0000003128    0.4588810275    0.6700384052
    6.1349114620   -0.0000003072   -0.0000000323
   -0.0000006454    0.9986625588    0.2829577536
    0.0000007150    0.4588809654    0.6700382522
   -3.2597737838    0.0000001960    0.0000000906
    0.0000005260   -0.7675199003   -0.1886786281
    0.0000004117   -0.3857665926   -0.5614803955
   -3.4300502317    0.0000000190    0.0000000393
    0.0000003638   -0.8594869755   -0.0582699609
   -0.0000003758    0.2265877903   -0.2764160795
    4.3409753329    0.0000001284    0.0000000985
   -0.0000005581    1.1426788270    0.0432984219
   -0.0000004587   -0.2013908569    0.3670462303
   -3.7860633721    0.0000000262   -0.0000001146
    0.0000006425   -0.5143344842   -0.0793076239
    0.0000003715   -0.0983113247   -0.1991880723
