  3.40000E+01  1.82151E+01  1.24404E+01  5.77476E+00  1.01858E+01  5.87732E-01  1.00903E-01  3.15600E+00  1.60811E+00  1.10769E+00
  3.50000E+01  1.71207E+01  1.16553E+01  5.46534E+00  1.02523E+01  7.14901E-01  1.28605E-01  2.56250E+00  1.27623E+00  8.74368E-01
  3.60000E+01  1.67073E+01  1.13315E+01  5.37586E+00  1.06729E+01  8.77106E-01  1.64578E-01  2.08442E+00  1.00351E+00  6.81816E-01
  3.70000E+01  1.70733E+01  1.15376E+01  5.53563E+00  1.15281E+01  1.07059E+00  2.07575E-01  1.73533E+00  7.96340E-01  5.34346E-01
  3.80000E+01  1.81693E+01  1.22477E+01  5.92162E+00  1.28806E+01  1.26698E+00  2.49726E-01  1.49732E+00  6.43836E-01  4.24160E-01
  3.90000E+01  1.98985E+01  1.34109E+01  6.48767E+00  1.48247E+01  1.40669E+00  2.74761E-01  1.34960E+00  5.33017E-01  3.41929E-01
  4.00000E+01  2.22529E+01  1.50356E+01  7.21729E+00  1.75145E+01  1.43864E+00  2.68518E-01  1.27750E+00  4.53460E-01  2.79981E-01
  4.10000E+01  2.54730E+01  1.72840E+01  8.18907E+00  2.11876E+01  1.38033E+00  2.34879E-01  1.27421E+00  3.97897E-01  2.32674E-01
  4.20000E+01  3.00286E+01  2.04628E+01  9.56583E+00  2.61877E+01  1.30012E+00  1.90959E-01  1.34049E+00  3.61740E-01  1.96008E-01
  4.30000E+01  3.64778E+01  2.49435E+01  1.15343E+01  3.29670E+01  1.25426E+00  1.50230E-01  1.48364E+00  3.42446E-01  1.67177E-01
  4.40000E+01  4.53380E+01  3.10774E+01  1.42606E+01  4.20008E+01  1.26882E+00  1.17532E-01  1.71378E+00  3.38722E-01  1.44200E-01
  4.50000E+01  5.67588E+01  3.89659E+01  1.77929E+01  5.34284E+01  1.35466E+00  9.27629E-02  2.03175E+00  3.48999E-01  1.25661E-01
  4.60000E+01  6.96469E+01  4.78507E+01  2.17961E+01  6.61480E+01  1.52167E+00  7.43229E-02  2.39969E+00  3.68264E-01  1.10523E-01
  4.70000E+01  8.05089E+01  5.53124E+01  2.51965E+01  7.66460E+01  1.78574E+00  6.05782E-02  2.70332E+00  3.84110E-01  9.79953E-02
  4.80000E+01  8.43118E+01  5.78642E+01  2.64476E+01  7.98534E+01  2.17037E+00  5.02434E-02  2.77909E+00  3.79383E-01  8.74617E-02
  4.90000E+01  7.91116E+01  5.41563E+01  2.49553E+01  7.37856E+01  2.70103E+00  4.23886E-02  2.56245E+00  3.47082E-01  7.84792E-02
  5.00000E+01  6.84412E+01  4.66318E+01  2.18094E+01  6.19712E+01  3.38194E+00  3.63533E-02  2.16544E+00  2.98135E-01  7.07671E-02
  5.10000E+01  5.70932E+01  3.86222E+01  1.84710E+01  4.93358E+01  4.13901E+00  3.16507E-02  1.74496E+00  2.48086E-01  6.41335E-02
  5.20000E+01  4.73416E+01  3.17477E+01  1.55939E+01  3.85471E+01  4.75006E+00  2.78868E-02  1.38585E+00  2.05268E-01  5.84152E-02
  5.30000E+01  3.92091E+01  2.60894E+01  1.31198E+01  3.01715E+01  4.90774E+00  2.47365E-02  1.10581E+00  1.71292E-01  5.34662E-02
  5.40000E+01  3.21902E+01  2.13198E+01  1.08704E+01  2.38894E+01  4.50717E+00  2.19981E-02  8.94331E-01  1.44953E-01  4.91613E-02
  5.50000E+01  2.61856E+01  1.73225E+01  8.86307E+00  1.92042E+01  3.77414E+00  1.96114E-02  7.35271E-01  1.24509E-01  4.53972E-02
  5.60000E+01  2.12833E+01  1.40956E+01  7.18772E+00  1.56835E+01  3.00395E+00  1.75685E-02  6.14607E-01  1.08452E-01  4.20901E-02
  5.70000E+01  1.74308E+01  1.15700E+01  5.86079E+00  1.30032E+01  2.35078E+00  1.58435E-02  5.21806E-01  9.56460E-02  3.91717E-02
  5.80000E+01  1.44494E+01  9.61578E+00  4.83361E+00  1.09321E+01  1.84470E+00  1.43906E-02  4.49341E-01  8.52676E-02  3.65863E-02
  5.90000E+01  1.21395E+01  8.09929E+00  4.04025E+00  9.30753E+00  1.46495E+00  1.31618E-02  3.91901E-01  7.67301E-02  3.42883E-02
  6.00000E+01  1.03330E+01  6.91056E+00  3.42241E+00  8.01499E+00  1.18125E+00  1.21153E-02  3.45729E-01  6.96115E-02  3.22399E-02
  6.10000E+01  8.90197E+00  5.96678E+00  2.93519E+00  6.97290E+00  9.67574E-01  1.12174E-02  3.08142E-01  6.36053E-02  3.04096E-02
  6.20000E+01  7.75331E+00  5.20761E+00  2.54571E+00  6.12254E+00  8.04462E-01  1.04416E-02  2.77198E-01  5.84852E-02  2.87712E-02
  6.30000E+01  6.81948E+00  4.58927E+00  2.23021E+00  5.42099E+00  6.78052E-01  9.76718E-03  2.51473E-01  5.40821E-02  2.73027E-02
  6.40000E+01  6.05135E+00  4.07987E+00  1.97148E+00  4.83650E+00  5.78591E-01  9.17758E-03  2.29906E-01  5.02674E-02  2.59855E-02
  6.50000E+01  5.41285E+00  3.65592E+00  1.75692E+00  4.34521E+00  4.99195E-01  8.65967E-03  2.11699E-01  4.69421E-02  2.48040E-02
  6.60000E+01  4.87710E+00  3.29988E+00  1.57721E+00  3.92901E+00  4.34963E-01  8.20279E-03  1.96243E-01  4.40289E-02  2.37449E-02
  6.70000E+01  4.42386E+00  2.99851E+00  1.42535E+00  3.57395E+00  3.82354E-01  7.79829E-03  1.83067E-01  4.14671E-02  2.27972E-02
