    0.0000759021   25.2007413496   10.2585593276   -0.0000032704   -0.0000007153   -0.0000005864
   46.8203873103    0.0000065432    0.0000032400   20.9521082961    4.6580655095    1.1822798691
   32.0335102538    0.0000057828    0.0000002842    3.8808363227    7.0052967867    4.6639969319
   -0.0001172000  -28.0740861509  -15.7919724148    0.0000034138    0.0000018968    0.0000003741
 -102.0128574637    0.0000127612    0.0000064303   -6.1415685276   -5.7954273041    0.6603259113
  -67.0693428034    0.0000018549    0.0000007406   -7.4065808252    0.7464067747   -5.0938074060
   -0.0000976592    8.9537889943    9.9238030716    0.0000001789   -0.0000007237   -0.0000027217
   50.0646179254   -0.0000019882   -0.0000036005    1.5901734664    2.1493042510    1.2173746871
   45.0800809717   -0.0000038147   -0.0000020213    3.1661429244    2.0968404481    9.9431276425
    0.0000557061    8.5333656110    0.2066220535   -0.0000015341   -0.0000002345    0.0000006898
   88.2632510869   -0.0000044408    0.0000052797    9.7954026811    2.0021006645    2.2695693096
  -46.7201351705    0.0000033048   -0.0000005270   -3.6909227155    0.4978320670   -2.9860137500
    0.0002943830  -18.5393848590   -5.0548867584    0.0000018643    0.0000015024    0.0000003175
  -79.0611552598    0.0000234911    0.0000130456   -2.5814714024    1.0247248473   -2.0175410001
   18.7433244596    0.0000262580    0.0000190619    3.4931637984   -0.2131746827    4.9507595674
   -0.0002473812   18.5393828706    5.0548879742   -0.0000024661   -0.0000030645   -0.0000012923
   79.0611512158   -0.0000197783   -0.0000184710    2.5814734444   -1.0247127351    2.0175502744
  -18.7433027289   -0.0000243899   -0.0000139718   -3.4931628958    0.2131772545   -4.9507572262
   -0.0001157125   -8.5333707341   -0.2066243052    0.0000019165    0.0000006007    0.0000004185
  -88.2632379526   -0.0000006337   -0.0000050959   -9.7954036167   -2.0021041142   -2.2695714997
   46.7201060353   -0.0000089950   -0.0000023763    3.6909217392   -0.4978315913    2.9860148549
    0.0000750354   -8.9537879854   -9.9238039826   -0.0000005220    0.0000003313    0.0000018984
  -50.0645846525    0.0000019384    0.0000018069   -1.5901698667   -2.1493074562   -1.2173773025
  -45.0800917460   -0.0000009158   -0.0000022699   -3.1661433144   -2.0968473762   -9.9431352222
    0.0001708054   28.0741045160   15.7919800744   -0.0000003094   -0.0000001669    0.0000003809
  102.0129054836    0.0000047710   -0.0000017091    6.1415713543    5.7954301271   -0.6603237524
   67.0693914963    0.0000022479    0.0000022787    7.4065835200   -0.7463984143    5.0938150717
   -0.0000938790  -25.2007536121  -10.2585650403    0.0000007284    0.0000005737    0.0000005211
  -46.8204776939   -0.0000226639   -0.0000009261  -20.9521158288   -4.6580737898   -1.1822864967
  -32.0335407673   -0.0000013330   -0.0000011993   -3.8808385537   -7.0053012664   -4.6640004638
