reference_branch,zstar_modes,multiplicity,polarization,zstar_PBE_cm1,reference_B3LYP_cm1,difference_cm1,relative_difference_percent
A1*,9;10,2,transverse,265.4334373782012,269.32,-3.8865626217988165,-1.4431021171093183
A2 (RBM),15,1,axial,408.4524062209731,414.41,-5.957593779026922,-1.4376085951176232
A3*,19;20,2,transverse,529.1691180970271,537.33,-8.16088190297296,-1.5187839694364658
B4*,37;38,2,transverse,770.7865591702111,794.75,-23.96344082978885,-3.015217468359721
B5,39,1,axial,808.1984009917956,832.58,-24.38159900820449,-2.928439190012311
C8,68,1,axial,1321.055577959203,1342.44,-21.384422040797062,-1.5929517923182424
C9*,71;72,2,transverse,1425.1613516808354,1458.33,-33.168648319164504,-2.274426797718243
