mode,frequency_cm-1,Zmode_x,Zmode_y,Zmode_z,intensity_x,intensity_y,intensity_z,intensity_total
1,673.9468130836236,0.0,-2.8189256484623115e-18,1.3149030113623357e-16,0.0,7.946341811558664e-36,1.728969929289739e-32,1.7297645634708947e-32
2,673.9468130836236,0.0,-1.0408340855860843e-17,9.734211141102061e-17,0.0,1.0833355937178202e-34,9.475486653955549e-33,9.583820213327331e-33
3,662.8496072285348,-1.301313497820293e-16,8.238634789863832e-17,0.0,1.693416819609286e-32,6.787510320075467e-33,0.0,2.3721678516168326e-32
4,600.6131811962181,-2.3886369116967466e-16,-3.141787467399862e-17,0.0,5.705586295920171e-32,9.87082849031084e-34,0.0,5.804294580823279e-32
5,465.13319561667305,-1.099592532673577,-0.5412156016533666,3.883741478551618e-17,1.2091037379114913,0.29291432747301555,1.5083447872222308e-33,1.5020180653845068
6,465.13319561667305,0.5412156016533667,-1.099592532673577,-8.14164308001887e-17,0.2929143274730157,1.2091037379114913,6.628635204241916e-33,1.502018065384507
7,452.64241761444856,6.938893903907228e-18,0.0,8.686973496941025e-17,4.81482486096809e-35,0.0,7.546350853655578e-33,7.594499102265259e-33
8,452.64241761444856,0.0,0.0,-4.341096278412941e-16,0.0,0.0,1.8845116898450687e-31,1.8845116898450687e-31
9,319.61609389381624,4.292657228152261e-17,1.2354858952724788e-16,-1.32109188952161,1.842690607840785e-33,1.5264253974172383e-32,1.7452837805597776,1.7452837805597776
10,295.70265930741556,-4.975418920559159e-18,-5.168951292993146e-16,5.551115123125783e-16,2.4754793435058065e-35,2.6718057469335514e-31,3.0814879110195774e-31,5.7535412058874795e-31
11,227.4630882769338,-1.1968389240756933e-17,-3.0982779840895556e-16,0.0,1.4324234101826632e-34,9.59932646669404e-32,0.0,9.613650700795867e-32
12,103.35307098094974,0.0,0.0,-4.073928309106631e-18,0.0,0.0,1.6596891867740417e-35,1.6596891867740417e-35
13,103.35307098094974,0.0,0.0,1.9343437286621668e-17,0.0,0.0,3.741685660614654e-34,3.741685660614654e-34
14,90.42955909497613,-0.8655990157109763,-0.2961703655523391,-8.480075221839715e-17,0.749261655999811,0.08771688543140618,7.191167576805989e-33,0.8369785414312172
15,90.42955909497613,0.29617036555233917,-0.8655990157109763,-3.1751641908214055e-16,0.08771688543140621,0.749261655999811,1.0081667638674552e-31,0.8369785414312172
