# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    2    33       0.20135856       2.74383510       0.25267633
    2    34       0.20135856       2.82574063       0.81644415
    2    35       0.20135856       2.90764615       1.26266626
    2    36       0.20135856       2.98955168       1.61235157
    2    37       0.20135856       3.07145720       1.88378119
    2    38       0.20135856       3.15336273       2.09243798
    2    39       0.20135856       3.23526825       2.24995117
    2    40       0.20135856       3.31717378       2.36673768
    2    41       0.20135856       3.39907931       2.45186702
    2    42       0.20135856       3.48098483       2.51226176
    2    43       0.20135856       3.56289036       2.55357665
    2    44       0.20135856       3.64479588       2.58031716
    2    45       0.20135856       3.72670141       2.59663468
    2    46       0.20135856       3.80860693       2.60592815
    2    47       0.20135856       3.89051246       2.61052001
    2    48       0.20135856       3.97241798       2.61251296
    2    49       0.20135856       4.05432351       2.61305446
    3     0       0.28190198       0.04095276       2.54735975
    3     1       0.28190198       0.12285829       2.54809834
    3     2       0.28190198       0.20476381       2.55011915
    3     3       0.28190198       0.28666934       2.55251782
    3     4       0.28190198       0.36857486       2.55390622
    3     5       0.28190198       0.45048039       2.55224901
    3     6       0.28190198       0.53238592       2.54507421
    3     7       0.28190198       0.61429144       2.52937852
    3     8       0.28190198       0.69619697       2.50121836
    3     9       0.28190198       0.77810249       2.45622432
    3    10       0.28190198       0.86000802       2.38938249
    3    11       0.28190198       0.94191354       2.29455545
    3    12       0.28190198       1.02381907       2.16482301
    3    13       0.28190198       1.10572459       1.99121777
    3    14       0.28190198       1.18763012       1.76455560
    3    15       0.28190198       1.26953564       1.47367951
    3    16       0.28190198       1.35144117       1.10645396
    3    17       0.28190198       1.43334669       0.65103120
    3    18       0.28190198       1.51525222       0.09708962
    3    19       0.28190198       1.59715775      -0.54894873
    3    20       0.28190198       1.67906327      -1.25054676
    3    21       0.28190198       1.76096880      -1.94763387
    3    22       0.28190198       1.84287432      -2.57298231
    3    23       0.28190198       1.92477985      -3.06633132
    3    24       0.28190198       2.00668537      -3.38190960
    3    25       0.28190198       2.08859090      -3.49034924
    3    26       0.28190198       2.17049642      -3.38191279
    3    27       0.28190198       2.25240195      -3.06633731
    3    28       0.28190198       2.33430747      -2.57299035
    3    29       0.28190198       2.41621300      -1.94764292
    3    30       0.28190198       2.49811853      -1.25055560
    3    31       0.28190198       2.58002405      -0.54895637
    3    32       0.28190198       2.66192958       0.09708363
    3    33       0.28190198       2.74383510       0.65102687
    3    34       0.28190198       2.82574063       1.10645112
