mode,frequency_cm-1,activity_normalized,depolarization_ratio,Rxx,Rxy,Rxz,Ryx,Ryy,Ryz,Rzx,Rzy,Rzz
6,105.18167002053136,0.8228505577825844,0.7499999962519378,7.426427472978503e-07,-1.565203591735731e-08,1.3366186870707202e-07,-1.565203591735731e-08,2.349484251595868e-06,0.03999562967531873,1.3366186870707202e-07,0.03999562967531873,1.28804258370252e-06
10,312.76867483103933,8.200641271511701e-09,0.7336542296846341,1.0686980012053482e-05,3.0791341698588326e-15,-2.121387583860787e-08,3.0791341698588326e-15,-8.878686497126864e-06,-2.1213838243558727e-08,-2.121387583860787e-08,-2.1213838243558727e-08,4.5469330522962537e-07
14,456.8184894798121,1.0199889980413838e-09,0.7489204002069111,-2.97675883942361e-08,6.339094544421942e-08,4.857287826194571e-07,6.339094544421942e-08,2.71896105630276e-07,4.5255188700618946e-06,4.857287826194571e-07,4.5255188700618946e-06,2.578022240129485e-08
18,670.4616028432578,1.0,0.7499999999999826,2.220446049250313e-14,3.632739469482116e-08,3.674259518599704e-15,3.632739469482116e-08,4.34888569600389e-08,0.18386149838720425,3.674259518599704e-15,0.18386149838720425,-2.220446049250313e-14
