# Z-direction plane-averaged electrostatic potential
# iz   z(Angstrom)   V_avg(eV)
   207       16.37837453        3.37196032
   208       16.45749711        3.37243386
   209       16.53661969        3.37286546
   210       16.61574228        3.37317465
   211       16.69486486        3.37345011
   212       16.77398744        3.37365237
   213       16.85311002        3.37381791
   214       16.93223261        3.37395139
   215       17.01135519        3.37403964
   216       17.09047777        3.37412998
   217       17.16960035        3.37416511
   218       17.24872293        3.37422941
   219       17.32784552        3.37422979
   220       17.40696810        3.37427919
   221       17.48609068        3.37425908
   222       17.56521326        3.37430023
   223       17.64433585        3.37427036
   224       17.72345843        3.37430654
   225       17.80258101        3.37427471
   226       17.88170359        3.37430660
   227       17.96082618        3.37427781
   228       18.03994876        3.37430423
   229       18.11907134        3.37428152
   230       18.19819392        3.37430091
   231       18.27731650        3.37428604
   232       18.35643909        3.37429709
   233       18.43556167        3.37429100
   234       18.51468425        3.37429312
   235       18.59380683        3.37429602
   236       18.67292942        3.37428937
   237       18.75205200        3.37430072
   238       18.83117458        3.37428617
   239       18.91029716        3.37430479
   240       18.98941974        3.37428382
   241       19.06854233        3.37430794
   242       19.14766491        3.37428252
   243       19.22678749        3.37431003
   244       19.30591007        3.37428240
   245       19.38503266        3.37431094
   246       19.46415524        3.37428348
   247       19.54327782        3.37431069
   248       19.62240040        3.37428568
   249       19.70152299        3.37430937
   250       19.78064557        3.37428885
   251       19.85976815        3.37430718
   252       19.93889073        3.37429276
   253       20.01801331        3.37430437
   254       20.09713590        3.37429715
   255       20.17625848        3.37430124
   256       20.25538106        3.37430168
   257       20.33450364        3.37429809
   258       20.41362623        3.37430606
   259       20.49274881        3.37429525
   260       20.57187139        3.37430998
   261       20.65099397        3.37429299
   262       20.73011655        3.37431318
   263       20.80923914        3.37429147
   264       20.88836172        3.37431530
   265       20.96748430        3.37429079
   266       21.04660688        3.37431638
   267       21.12572947        3.37429117
   268       21.20485205        3.37431640
   269       21.28397463        3.37429260
   270       21.36309721        3.37431541
   271       21.44221980        3.37429498
   272       21.52134238        3.37431354
   273       21.60046496        3.37429815
   274       21.67958754        3.37431099
   275       21.75871012        3.37430188
   276       21.83783271        3.37430800
   277       21.91695529        3.37430591
   278       21.99607787        3.37430487
   279       22.07520045        3.37430993
   280       22.15432304        3.37430188
   281       22.23344562        3.37431367
   282       22.31256820        3.37429933
   283       22.39169078        3.37431685
   284       22.47081336        3.37429744
   285       22.54993595        3.37431926
   286       22.62905853        3.37429641
   287       22.70818111        3.37432074
