mode,frequency_cm-1,activity_normalized,depolarization_ratio,Rxx,Rxy,Rxz,Ryx,Ryy,Ryz,Rzx,Rzy,Rzz
4,771.264934566833,0.9998997053517928,0.75,0.0,0.269772525,0.190757925,0.269772525,0.0,-3.999999999941008e-09,0.190757925,-3.999999999941008e-09,0.0
5,771.264934566833,0.9998864365562834,0.7499999928433598,0.05362500000001269,-2.42668125e-07,3.228795000000001e-08,-2.42668125e-07,0.2894750000000057,-0.08338275,3.228795000000001e-08,-0.08338275,-0.3431500000000032
6,771.264934566833,1.0,0.7499999982110431,0.32602500000000756,-6.030559749999999e-08,2.489217e-07,-6.030559749999999e-08,-0.15927499999999206,0.17157909999999998,2.489217e-07,0.17157909999999998,-0.1667749999999968
