mode,frequency_cm-1,Zmode_x,Zmode_y,Zmode_z,intensity_x,intensity_y,intensity_z,intensity_total
4,16.37621990810723,9.053499300657416e-05,-0.010664820324551405,0.00012227133298853965,8.196584958700431e-09,0.00011373839255496473,1.4950278870794343e-08,0.00011376153941879423
5,16.3832034793884,-0.010929608146638903,-6.778275811603914e-05,4.87364534770737e-05,0.00011945633423907547,4.59450229781747e-09,2.3752418975229687e-09,0.00011946330398327081
6,84.4879839238651,-0.16652107321674822,0.0002788490620402053,-0.00040365190534938947,0.02772926782525762,7.775679940070226e-08,1.6293486069219248e-07,0.027729508516917717
7,84.51353945668642,-0.00017933705654291028,-0.16655679477568738,-0.0005488182729715408,3.2161779849475e-08,0.027741165885950443,3.012014967474647e-07,0.02774149924922704
8,92.4688761149555,-7.56565162311973e-05,-0.0002603233578129526,-0.009133393449473667,5.72390844824142e-09,6.776825062301054e-08,8.341887590288849e-05,8.349236806195974e-05
9,156.05987511867295,-0.49509477291899273,1.6182943083322422e-05,0.00010830637649985643,0.245118834171709,2.6188764683805303e-10,1.1730271190528653e-08,0.24511884616386784
10,156.24468446100803,0.00020664796256508272,-0.4946484586107206,-0.0007398953891250961,4.270338043229983e-08,0.24467709760596176,5.474451868485775e-07,0.24467768775452906
11,167.63364861233435,-0.35971745693018686,-4.3311099962237746e-05,-0.0001873488972576855,0.12939664882032084,1.8758513799389506e-09,3.5099609303670795e-08,0.12939668579578154
12,167.82403778483314,3.0421807505632374e-05,-0.3595724484832299,0.00018468374902612522,9.254863719097503e-10,0.129292345708225,3.410808715434481e-08,0.12929238074179855
13,173.8606445196163,7.025321007917019e-05,-0.0061000069362434845,-0.014293170913899273,4.935513526428019e-09,3.721008462221862e-05,0.00020429473477393619,0.00024150975490968123
14,195.59376265896591,2.1471879798855007e-05,0.0012655949733349288,0.03541324092318381,4.6104162209647776e-10,1.6017306365306393e-06,0.0012540976326834608,0.0012556998243616136
15,254.65230810776436,0.0001235275670341708,-0.000617323500138026,-0.05975848631885938,1.525905981738156e-08,3.8108830382266335e-07,0.003571076687121304,0.0035714730344849443
