# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    2    34       1.62327106       2.45562797       2.44752828
    2    35       1.66436696       2.52680602       2.42954106
    2    36       1.70546287       2.59798406       2.37823750
    2    37       1.74655877       2.66916211       2.28422074
    2    38       1.78765468       2.74034015       2.14062585
    2    39       1.82875058       2.81151819       1.94322023
    2    40       1.86984649       2.88269624       1.68538967
    2    41       1.91094239       2.95387428       1.36685966
    2    42       1.95203830       3.02505233       0.99226260
    2    43       1.99313420       3.09623037       0.56645731
    2    44       2.03423011       3.16740842       0.10592031
    2    45       2.07532601       3.23858646      -0.35590036
    2    46       2.11642192       3.30976450      -0.77484628
    2    47       2.15751782       3.38094255      -1.10725262
    2    48       2.19861373       3.45212059      -1.31903803
    2    49       2.23970963       3.52329864      -1.39162323
    3     0       0.30819521       0.03556865      -0.97068405
    3     1       0.34929112       0.10674669      -0.71176936
    3     2       0.39038702       0.17792474      -0.35650254
    3     3       0.43148293       0.24910278       0.05738724
    3     4       0.47257883       0.32028083       0.48795352
    3     5       0.51367474       0.39145887       0.89972984
    3     6       0.55477064       0.46263691       1.27125991
    3     7       0.59586655       0.53381496       1.59311404
    3     8       0.63696245       0.60499300       1.86006933
    3     9       0.67805836       0.67617105       2.06820104
    3    10       0.71915426       0.74734909       2.22130428
    3    11       0.76025017       0.81852714       2.32451191
    3    12       0.80134607       0.88970518       2.38207213
    3    13       0.84244198       0.96088322       2.40191914
    3    14       0.88353788       1.03206127       2.39332312
    3    15       0.92463379       1.10323931       2.36204255
    3    16       0.96572969       1.17441736       2.31061915
    3    17       1.00682560       1.24559540       2.24322676
    3    18       1.04792150       1.31677344       2.16538292
    3    19       1.08901741       1.38795149       2.08406561
    3    20       1.13011331       1.45912953       2.00639566
    3    21       1.17120922       1.53030758       1.93979290
    3    22       1.21230512       1.60148562       1.89094290
    3    23       1.25340103       1.67266367       1.86515451
    3    24       1.29449693       1.74384171       1.86520113
    3    25       1.33559284       1.81501975       1.89107906
    3    26       1.37668875       1.88619780       1.94000857
    3    27       1.41778465       1.95737584       2.00667435
    3    28       1.45888056       2.02855389       2.08438988
    3    29       1.49997646       2.09973193       2.16573433
    3    30       1.54107237       2.17090998       2.24359275
    3    31       1.58216827       2.24208802       2.31099096
    3    32       1.62326418       2.31326606       2.36241320
    3    33       1.66436008       2.38444411       2.39369055
    3    34       1.70545599       2.45562215       2.40228750
    3    35       1.74655189       2.52680020       2.38244991
    3    36       1.78764780       2.59797824       2.32491102
