case,dimension,IR_SCF_old,IR_SCF_unified,IR_core_h_old,IR_core_h_unified,IR_speedup,Raman_mode_SCF_old,Raman_extra_SCF_unified,full_SCF_old,full_SCF_unified,old_mode_Raman_core_h,new_static_postprocessing_core_h,full_core_h_old,full_core_h_unified,assembled_speedup,parallelism_matched,Raman_atomic_Cartesian_tensor_error,Raman_direct_tensor_error,Raman_direct_activity_error
HfO2,3,17,5,29.976658615050837,10.87362902115306,2.7568218997296685,30,0,47,5,57.411057176673786,4.603304468778273,87.38771579172462,15.476933489931334,5.646319786059398,True,0.00012091507428172684,0.00018183441766854105,0.00023124756267807014
MoS2,2,16,4,7.22440886033906,3.0131735380428535,2.39760796022108,12,0,28,4,3.322299555094085,0.09953080280166533,10.546708415433145,3.1127043408445187,3.3882782495724215,True,0.0005513582938870035,0.0005360164934547725,0.0007764666010237221
Sb2S3,1,51,21,41.669086078264655,18.94506395142008,2.199469275222015,52,0,103,21,30.091572300810373,0.5660195539808937,71.76065837907502,19.511083505400975,3.677943275636668,True,0.0002123858823942825,0.00035748103994354407,0.00026494718108952296
CH4,0,16,4,12.978126084297482,3.2605297272093594,3.9803734883918,18,0,34,4,14.906413354900563,0.07756975207270847,27.884539439198043,3.338099479282068,8.353417749310225,True,2.3374472827178356e-08,7.653238681722386e-05,0.00016126130911381235
