# Z-direction plane-averaged electrostatic potential
# iz   z(Angstrom)   V_avg(eV)
   206       16.22043735        2.81962935
   207       16.29917733        2.81994878
   208       16.37791732        2.82024557
   209       16.45665731        2.82044607
   210       16.53539730        2.82065121
   211       16.61413728        2.82077038
   212       16.69287727        2.82091019
   213       16.77161726        2.82097516
   214       16.85035724        2.82106765
   215       16.92909723        2.82109853
   216       17.00783722        2.82115658
   217       17.08657720        2.82116825
   218       17.16531719        2.82120115
   219       17.24405718        2.82120452
   220       17.32279717        2.82121936
   221       17.40153715        2.82122169
   222       17.48027714        2.82122374
   223       17.55901713        2.82122937
   224       17.63775711        2.82122253
   225       17.71649710        2.82123313
   226       17.79523709        2.82122016
   227       17.87397708        2.82123530
   228       17.95271706        2.82121839
   229       18.03145705        2.82123651
   230       18.11019704        2.82121766
   231       18.18893702        2.82123672
   232       18.26767701        2.82121798
   233       18.34641700        2.82123593
   234       18.42515699        2.82121925
   235       18.50389697        2.82123416
   236       18.58263696        2.82122105
   237       18.66137695        2.82123154
   238       18.74011693        2.82122339
   239       18.81885692        2.82122854
   240       18.89759691        2.82122602
   241       18.97633690        2.82122547
   242       19.05507688        2.82122863
   243       19.13381687        2.82122262
   244       19.21255686        2.82123093
   245       19.29129684        2.82122026
   246       19.37003683        2.82123268
   247       19.44877682        2.82121859
   248       19.52751681        2.82123368
   249       19.60625679        2.82121776
   250       19.68499678        2.82123385
   251       19.76373677        2.82121782
   252       19.84247675        2.82123318
   253       19.92121674        2.82121873
   254       19.99995673        2.82123174
   255       20.07869672        2.82122036
   256       20.15743670        2.82122969
   257       20.23617669        2.82122251
   258       20.31491668        2.82122725
   259       20.39365666        2.82122495
   260       20.47239665        2.82122468
   261       20.55113664        2.82122740
   262       20.62987663        2.82122226
   263       20.70861661        2.82122965
   264       20.78735660        2.82122024
   265       20.86609659        2.82123141
   266       20.94483657        2.82121881
   267       21.02357656        2.82123252
   268       21.10231655        2.82121810
   269       21.18105654        2.82123286
   270       21.25979652        2.82121818
   271       21.33853651        2.82123240
   272       21.41727650        2.82121903
   273       21.49601648        2.82123121
   274       21.57475647        2.82122056
   275       21.65349646        2.82122942
   276       21.73223644        2.82122260
   277       21.81097643        2.82122723
   278       21.88971642        2.82122493
   279       21.96845641        2.82122486
   280       22.04719639        2.82122731
   281       22.12593638        2.82122257
   282       22.20467637        2.82122949
   283       22.28341635        2.82122061
   284       22.36215634        2.82123123
   285       22.44089633        2.82121918
   286       22.51963632        2.82123235
   287       22.59837630        2.82121843
