mode,frequency_cm-1,Zmode_x,Zmode_y,Zmode_z,intensity_x,intensity_y,intensity_z,intensity_total
5,43.15414172627385,3.316357605198661e-15,4.329219274734619e-16,-0.0034966765046272365,1.0998227765558998e-29,1.8742139528733742e-31,1.2226746578012148e-05,1.2226746578012148e-05
6,48.798930015110656,-0.000138361598840501,-2.7733680971694127e-08,1.4519635493925875e-15,1.9143932033699726e-08,7.691570602397089e-16,2.108198148764721e-30,1.9143932802856785e-08
7,54.00480962733226,-1.4027407707617456e-15,1.5137630732242613e-15,-2.7217811338076103e-15,1.9676816699572562e-30,2.2914786418573603e-30,7.408092540351041e-30,1.1667252852165657e-29
8,58.14609516294103,-4.0047194742244985e-07,-0.005725110331883111,7.654467337747661e-15,1.6037778067232943e-13,3.2776888312234744e-05,5.859087022464577e-29,3.2776888472612524e-05
9,64.72552403236243,4.372587361634039e-15,3.066015323571758e-15,0.006718364257518452,1.911952023512173e-29,9.400449964376832e-30,4.513641829670146e-05,4.513641829670146e-05
10,65.8318945101681,-1.2397851842371743e-15,-5.733206877994723e-15,-7.739468788070525e-15,1.5370673030540043e-30,3.2869661105886e-29,5.989937712151784e-29,9.430610553045784e-29
11,73.98406383525499,0.0044237164978449305,2.4981410779085535e-08,-9.461181837977506e-15,1.956926765330542e-05,6.240708845134109e-16,8.951396177127542e-29,1.956926765392949e-05
12,92.66294065009468,1.0414689303627942e-07,0.004925305584508938,-3.8526039997099915e-15,1.0846575329110227e-14,2.4258635100794933e-05,1.4842557578581424e-29,2.4258635111641508e-05
13,93.67112346435349,0.0066550455863566785,-3.595972076604278e-08,-8.868773770931426e-15,4.4289631756485506e-05,1.2931015175717686e-15,7.865514819996123e-29,4.428963175777861e-05
14,99.90527187978826,3.376639245988855e-15,-5.254097937973379e-15,0.04072480291157392,1.1401692597552183e-29,2.760554514181611e-29,0.0016585095721865395,0.0016585095721865395
15,108.82487504405465,-4.174178364069192e-16,-3.312779738029459e-16,6.152196807551746e-15,1.7423765015063357e-31,1.097450959269853e-31,3.78495255588499e-29,3.813350830492752e-29
16,118.95172981970082,-8.21286299622706e-07,2.4563231736830912e-05,-1.1214987272190058e-14,6.745111859479573e-13,6.033523533572573e-10,1.25775939515385e-28,6.040268645432052e-10
17,143.41335731668076,-1.0375814790686277e-15,3.642919299551295e-17,-0.0622295579450684,1.0765753257062412e-30,1.3270861023043297e-33,0.003872517882038626,0.003872517882038626
18,145.42209988151205,-2.4699748950719573e-07,-0.001152636077114874,-1.3027773304585821e-14,6.100775982285727e-14,1.3285699262667659e-06,1.6972287727567897e-28,1.3285699872745257e-06
19,155.8009639355237,-4.450866758487493e-15,1.0823861338465912e-15,0.4138138253042193,1.9810214901808962e-29,1.1715597427433709e-30,0.1712418820129109,0.1712418820129109
20,165.26434403830135,-9.608250066797707e-07,-0.00698247352089949,-2.6148354315136402e-14,9.231846934611813e-13,4.8754936470062514e-05,6.837364333899125e-28,4.875493739324721e-05
21,166.24596021358218,0.007800926483867897,-1.239108379921458e-08,1.243623259927773e-14,6.085445400671155e-05,1.5353895771915805e-16,1.5465988126333813e-28,6.0854454006865086e-05
22,187.98935533261482,1.1464268947136355e-07,0.0004303255884356258,-1.8283985436795547e-15,1.3142946249227492e-14,1.851801120624676e-07,3.3430412345295164e-30,1.8518012520541385e-07
23,195.5259532279495,-2.940898392866931e-16,-2.109125591190364e-15,-0.014841832249865692,8.648883357167296e-32,4.448410759414102e-30,0.0002202799845331533,0.0002202799845331533
24,199.15886417662983,5.313241166482463e-15,2.652202459388353e-15,5.35682609381638e-15,2.8230531693203924e-29,7.034177885585629e-30,2.869558579939206e-29,6.396029537818161e-29
25,222.95212821197794,1.6306400674181987e-15,-3.186578605152146e-15,-0.03647848299604069,2.6589870294696275e-30,1.0154283206813397e-29,0.0013306797216924295,0.0013306797216924295
26,224.20035916313816,9.098624631498353e-16,2.456368441983159e-15,-4.485994908876023e-15,8.278497018490854e-31,6.033745922770771e-30,2.01241503224616e-29,2.6985745947081456e-29
27,234.24203497474244,5.604984804872832e-07,0.0007455192657595212,-5.497338695370502e-15,3.1415854662855336e-13,5.557989756186156e-07,3.022073273161785e-29,5.557992897771623e-07
28,236.76356213404145,-0.0011383944025775922,1.2154398573623873e-08,-1.7237947180781532e-14,1.295941815819993e-06,1.4772940468651002e-16,2.9714682300741397e-28,1.2959418159677223e-06
29,246.0764898361786,-4.1057578094392394e-07,0.026235002446578358,-9.853229343548264e-15,1.68572471897713e-13,0.0006882753533719724,9.708612849656056e-29,0.000688275353540545
30,248.3405338802753,-0.028617553141202172,2.8136011567250416e-08,1.8204188156900614e-14,0.0008189643477895303,7.916351469124492e-16,3.3139246645184056e-28,0.000818964347790322
31,250.09828851331548,-4.171088387877608e-15,-3.21490338690833e-15,-0.16580063510771376,1.7397978339487426e-29,1.033560378715465e-29,0.027489850602121245,0.027489850602121245
32,252.84865882116358,-1.3343276136779103e-15,-6.867987081826676e-15,2.7139748781657147e-15,1.7804301806233867e-30,4.7169246556138106e-29,7.365659639314606e-30,5.63153363760761e-29
33,257.3321572886267,5.58252988107355e-15,1.3205717986145005e-15,-6.699632168483127e-14,3.1164639873079066e-29,1.7439098752959368e-30,4.488507119297393e-27,4.521415669045768e-27
34,257.8566484817974,1.0495077029659683e-16,-2.9869769851975647e-15,0.6279185377594155,1.1014664185849031e-32,8.922031510099933e-30,0.39428169006192254,0.39428169006192254
35,263.0339441261061,-8.174802915887971e-08,-0.11180553111519811,2.031361190368841e-15,6.682740271361048e-15,0.012500476787951534,4.126428285736715e-30,0.012500476787958216
36,265.2081981895622,-0.10875146043353762,3.4999824457052076e-08,-1.0940900962985722e-14,0.011826880146427297,1.2249877120244607e-15,1.197033138818619e-28,0.011826880146428522
37,429.60998454470797,0.0040404313957764166,-1.7360937908728818e-08,7.82011987717629e-15,1.632508586397576e-05,3.0140216507073734e-16,6.115427489340772e-29,1.6325085864277162e-05
38,430.1938238986653,-2.537134727569751e-15,4.645772427782496e-16,6.622957390844952e-15,6.437052625840434e-30,2.158320145074407e-31,4.386356460094778e-29,5.051644924129565e-29
39,462.0161015091314,3.148956789766899e-15,-3.3241638608405566e-16,-0.06711546860059116,9.915928863819055e-30,1.1050065373718395e-31,0.004504486125476937,0.004504486125476937
40,462.68311601421277,-2.6961939625369524e-15,-2.7736059976524174e-15,6.473988012345444e-15,7.269461883620713e-30,7.692890230213462e-30,4.1912520783992514e-29,5.687487289782669e-29
41,480.5815862752625,-2.4932415012597564e-06,0.16955574836051596,-1.069890026182338e-14,6.216253183604004e-12,0.02874915180209461,1.1446646681244438e-28,0.028749151808310863
42,482.7953094904076,0.17747720213643367,-6.082908966651866e-09,5.004677228193088e-16,0.031498157278176536,3.700178149657367e-17,2.5046794158394455e-31,0.03149815727817657
43,502.5031412598112,-5.388213746709836e-16,7.294579979118254e-16,-1.6885556418949406,2.9032847380232845e-31,5.321089707175287e-31,2.8512201557752346,2.8512201557752346
44,505.5101146740657,-0.002989681499242505,-1.6708991425964535e-07,1.3552527156068805e-14,8.938195466912912e-06,2.7919039447295634e-14,1.8367099231598242e-28,8.938195494831952e-06
45,506.29176023500906,-6.2521060377462856e-15,-3.8859025589324525e-15,3.256466277190562e-14,3.908882990722356e-29,1.5100238697517783e-29,1.0604572614479356e-27,1.114646330052677e-27
46,512.2464184172372,-1.760057255393091e-06,0.034355034831518895,-1.061650767297806e-14,3.0978015422618603e-12,0.0011802684182748765,1.12710235170402e-28,0.001180268421372678
47,514.1753632574706,-1.1967709967119697e-06,-0.22332625859191876,1.4929030234256402e-14,1.4322608185709613e-12,0.04987461777666457,2.2287594373534176e-28,0.04987461777809683
48,514.6232388607989,-0.21995644188234303,4.678875404305616e-08,-4.052314039881821e-15,0.04838083632554055,2.189187504901604e-15,1.6421249077823328e-29,0.048380836325542735
49,525.569176009758,-6.3482205603371256e-15,-1.8340363949764793e-15,0.02992329106845823,4.029990428268701e-29,3.3636894980983204e-30,0.0008954033483676721,0.0008954033483676721
