# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    3    14       0.71729447       0.75923812       1.64265574
    3    15       0.75714416       0.82825976       1.48048964
    3    16       0.79699385       0.89728141       1.30963059
    3    17       0.83684355       0.96630306       1.13722178
    3    18       0.87669324       1.03532470       0.97388125
    3    19       0.91654293       1.10434635       0.83298098
    3    20       0.95639263       1.17336800       0.72861629
    3    21       0.99624232       1.24238964       0.67286925
    3    22       1.03609201       1.31141129       0.67286925
    3    23       1.07594170       1.38043294       0.72861629
    3    24       1.11579140       1.44945459       0.83298098
    3    25       1.15564109       1.51847623       0.97388125
    3    26       1.19549078       1.58749788       1.13722178
    3    27       1.23534047       1.65651953       1.30963059
    3    28       1.27519017       1.72554117       1.48048964
    3    29       1.31503986       1.79456282       1.64265574
    3    30       1.35488955       1.86358447       1.79172800
    3    31       1.39473925       1.93260611       1.92531123
    3    32       1.43458894       2.00162776       2.04260425
    3    33       1.47443863       2.07064941       2.14385285
    3    34       1.51428832       2.13967106       2.22975774
    3    35       1.55413802       2.20869270       2.30144805
    3    36       1.59398771       2.27771435       2.35996858
    3    37       1.63383740       2.34673600       2.40655912
    3    38       1.67368709       2.41575764       2.44239361
    3    39       1.71353679       2.48477929       2.46837186
    4     0       0.19924846      -0.27608659       2.45772050
    4     1       0.23909816      -0.20706494       2.47076499
    4     2       0.27894785      -0.13804329       2.47504856
    4     3       0.31879754      -0.06902165       2.47076499
    4     4       0.35864723       0.00000000       2.45772050
    4     5       0.39849693       0.06902165       2.43546295
    4     6       0.43834662       0.13804329       2.40323230
    4     7       0.47819631       0.20706494       2.35996858
    4     8       0.51804601       0.27608659       2.30442716
    4     9       0.55789570       0.34510823       2.23511253
    4    10       0.59774539       0.41412988       2.15044393
    4    11       0.63759508       0.48315153       2.04862230
    4    12       0.67744478       0.55217318       1.92806928
    4    13       0.71729447       0.62119482       1.78721928
    4    14       0.75714416       0.69021647       1.62528339
    4    15       0.79699385       0.75923812       1.44267769
    4    16       0.83684355       0.82825976       1.24152127
    4    17       0.87669324       0.89728141       1.02778994
    4    18       0.91654293       0.96630306       0.81251736
    4    19       0.95639263       1.03532470       0.61175525
    4    20       0.99624232       1.10434635       0.44554213
    4    21       1.03609201       1.17336800       0.33490692
    4    22       1.07594170       1.24238964       0.29599764
    4    23       1.11579140       1.31141129       0.33490692
    4    24       1.15564109       1.38043294       0.44554213
    4    25       1.19549078       1.44945459       0.61175525
    4    26       1.23534047       1.51847623       0.81251736
    4    27       1.27519017       1.58749788       1.02778994
    4    28       1.31503986       1.65651953       1.24152127
    4    29       1.35488955       1.72554117       1.44267769
    4    30       1.39473925       1.79456282       1.62528339
    4    31       1.43458894       1.86358447       1.78721928
    4    32       1.47443863       1.93260611       1.92806928
    4    33       1.51428832       2.00162776       2.04862230
    4    34       1.55413802       2.07064941       2.15044393
    4    35       1.59398771       2.13967106       2.23511253
    4    36       1.63383740       2.20869270       2.30442716
    4    37       1.67368709       2.27771435       2.35996858
    4    38       1.71353679       2.34673600       2.40323230
    4    39       1.75338648       2.41575764       2.43546295
    5     0       0.23909816      -0.34510823       2.42084757
    5     1       0.27894785      -0.27608659       2.43898921
    5     2       0.31879754      -0.20706494       2.44787576
    5     3       0.35864723      -0.13804329       2.44787576
    5     4       0.39849693      -0.06902165       2.43898921
    5     5       0.43834662       0.00000000       2.42084757
    5     6       0.47819631       0.06902165       2.39267801
    5     7       0.51804601       0.13804329       2.35339108
    5     8       0.55789570       0.20706494       2.30144805
    5     9       0.59774539       0.27608659       2.23511253
    5    10       0.63759508       0.34510823       2.15237289
    5    11       0.67744478       0.41412988       2.05072043
    5    12       0.71729447       0.48315153       1.92743259
    5    13       0.75714416       0.55217318       1.77964962
    5    14       0.79699385       0.62119482       1.60461377
    5    15       0.83684355       0.69021647       1.39987532
    5    16       0.87669324       0.75923812       1.16428798
    5    17       0.91654293       0.82825976       0.90107590
    5    18       0.95639263       0.89728141       0.61905798
    5    19       0.99624232       0.96630306       0.33523763
    5    20       1.03609201       1.03532470       0.07682868
    5    21       1.07594170       1.10434635      -0.12231698
    5    22       1.11579140       1.17336800      -0.23115031
    5    23       1.15564109       1.24238964      -0.23115031
    5    24       1.19549078       1.31141129      -0.12231698
    5    25       1.23534047       1.38043294       0.07682868
    5    26       1.27519017       1.44945459       0.33523763
    5    27       1.31503986       1.51847623       0.61905798
    5    28       1.35488955       1.58749788       0.90107590
    5    29       1.39473925       1.65651953       1.16428798
    5    30       1.43458894       1.72554117       1.39987532
    5    31       1.47443863       1.79456282       1.60461377
    5    32       1.51428832       1.86358447       1.77964962
    5    33       1.55413802       1.93260611       1.92743259
