# Z-direction plane-averaged electrostatic potential
# iz   z(Angstrom)   V_avg(eV)
   209       16.68095014      -13.38839004
   210       16.76076330      -16.15415819
   211       16.84057646      -19.65220079
   212       16.92038962      -23.63315125
   213       17.00020278      -27.67180280
   214       17.08001594      -31.25560653
   215       17.15982909      -33.90191504
   216       17.23964225      -35.25371260
   217       17.31945541      -35.12734285
   218       17.39926857      -33.54014703
   219       17.47908173      -30.70718604
   220       17.55889489      -27.01092366
   221       17.63870805      -22.94703592
   222       17.71852120      -19.02127275
   223       17.79833436      -15.63426387
   224       17.87814752      -13.00082902
   225       17.95796068      -11.13860737
   226       18.03777384       -9.96427687
   227       18.11758700       -9.40725258
   228       18.19740016       -9.42609906
   229       18.27721331       -9.97641800
   230       18.35702647      -10.97108197
   231       18.43683963      -12.26123106
   232       18.51665279      -13.66014232
   233       18.59646595      -14.97674904
   234       18.67627911      -16.03195516
   235       18.75609227      -16.67168409
   236       18.83590542      -16.78360395
   237       18.91571858      -16.31524992
   238       18.99553174      -15.28373575
   239       19.07534490      -13.76853556
   240       19.15515806      -11.89441371
   241       19.23497122       -9.81455471
   242       19.31478438       -7.69523487
   243       19.39459754       -5.69769326
   244       19.47441069       -3.94285573
   245       19.55422385       -2.48110266
   246       19.63403701       -1.30052377
   247       19.71385017       -0.36095166
   248       19.79366333        0.37968675
   249       19.87347649        0.96118754
   250       19.95328965        1.41662174
   251       20.03310280        1.77204564
   252       20.11291596        2.04813017
   253       20.19272912        2.26198092
   254       20.27254228        2.42735932
   255       20.35235544        2.55501464
   256       20.43216860        2.65331341
   257       20.51198176        2.72886179
   258       20.59179491        2.78685200
   259       20.67160807        2.83124564
   260       20.75142123        2.86518154
   261       20.83123439        2.89100556
   262       20.91104755        2.91064399
   263       20.99086071        2.92548151
   264       21.07067387        2.93668541
   265       21.15048702        2.94504439
   266       21.23030018        2.95129419
   267       21.31011334        2.95587731
   268       21.38992650        2.95925406
   269       21.46973966        2.96165863
   270       21.54955282        2.96339568
   271       21.62936598        2.96458206
   272       21.70917913        2.96541539
   273       21.78899229        2.96594316
   274       21.86880545        2.96630025
   275       21.94861861        2.96650058
   276       22.02843177        2.96662974
   277       22.10824493        2.96668351
   278       22.18805809        2.96671589
   279       22.26787124        2.96671946
   280       22.34768440        2.96672042
   281       22.42749756        2.96671346
   282       22.50731072        2.96670613
   283       22.58712388        2.96670145
   284       22.66693704        2.96669148
   285       22.74675020        2.96668992
   286       22.82656335        2.96667775
   287       22.90637651        2.96667887
   288       22.98618967        2.96666502
   289       23.06600283        2.96666828
   290       23.14581599        2.96665332
   291       23.22562915        2.96665811
   292       23.30544231        2.96664266
   293       23.38525546        2.96664834
   294       23.46506862        2.96663302
   295       23.54488178        2.96663894
   296       23.62469494        2.96662437
   297       23.70450810        2.96662993
   298       23.78432126        2.96661665
   299       23.86413442        2.96662129
   300       23.94394757        2.96660979
   301       24.02376073        2.96661307
   302       24.10357389        2.96660371
   303       24.18338705        2.96660529
   304       24.26320021        2.96659831
   305       24.34301337        2.96659799
   306       24.42282653        2.96659351
   307       24.50263968        2.96659121
   308       24.58245284        2.96658923
   309       24.66226600        2.96658501
   310       24.74207916        2.96658539
   311       24.82189232        2.96657943
   312       24.90170548        2.96658188
   313       24.98151864        2.96657417
   314       25.06133179        2.96657819
   315       25.14114495        2.96656939
   316       25.22095811        2.96657513
   317       25.30077127        2.96656742
   318       25.38058443        2.96657530
   319       25.46039759        2.96656728
   320       25.54021075        2.96657532
   321       25.62002390        2.96656738
   322       25.69983706        2.96657511
   323       25.77965022        2.96656771
   324       25.85946338        2.96657468
   325       25.93927654        2.96656824
   326       26.01908970        2.96657406
   327       26.09890286        2.96656893
   328       26.17871601        2.96657330
   329       26.25852917        2.96656975
   330       26.33834233        2.96657245
   331       26.41815549        2.96657063
   332       26.49796865        2.96657155
   333       26.57778181        2.96657153
   334       26.65759497        2.96657066
   335       26.73740812        2.96657239
   336       26.81722128        2.96656984
   337       26.89703444        2.96657316
   338       26.97684760        2.96656912
   339       27.05666076        2.96657381
   340       27.13647392        2.96656856
   341       27.21628708        2.96657429
   342       27.29610023        2.96656817
   343       27.37591339        2.96657459
   344       27.45572655        2.96656797
   345       27.53553971        2.96657468
   346       27.61535287        2.96656798
   347       27.69516603        2.96657457
   348       27.77497919        2.96656819
   349       27.85479234        2.96657427
   350       27.93460550        2.96656857
   351       28.01441866        2.96657380
   352       28.09423182        2.96656912
   353       28.17404498        2.96657319
   354       28.25385814        2.96656978
   355       28.33367130        2.96657249
   356       28.41348445        2.96657052
   357       28.49329761        2.96657172
   358       28.57311077        2.96657129
   359       28.65292393        2.96657095
   360       28.73273709        2.96657206
   361       28.81255025        2.96657021
   362       28.89236341        2.96657276
   363       28.97217656        2.96656955
   364       29.05198972        2.96657337
   365       29.13180288        2.96656901
   366       29.21161604        2.96657384
