# omega(eV)            xx             xy             xz             yx             yy             yz             zx             zy             zz (Siemens/meter)
   3.80000  -1.452855e+05  -9.600163e-04  -2.009627e-04  -9.600168e-04  -1.452855e+05  -1.083325e-04  -2.009628e-04  -1.083315e-04  -8.322760e+03
   3.90000  -1.542191e+05   4.854498e-04   1.775192e-06   4.854511e-04  -1.542191e+05  -4.491721e-04   1.774629e-06  -4.491734e-04   4.201437e+04
   4.00000  -8.578867e+04  -2.250903e-03  -5.611135e-05  -2.250903e-03  -8.578868e+04  -6.487913e-04  -5.610995e-05  -6.487909e-04   4.947727e+04
   4.10000  -4.962158e+04   1.796808e-03  -7.236626e-04   1.796808e-03  -4.962158e+04  -8.546968e-04  -7.236618e-04  -8.546969e-04   5.073194e+04
   4.20000  -2.687195e+04   8.728601e-06  -4.536413e-04   8.727419e-06  -2.687195e+04   9.660486e-04  -4.536396e-04   9.660476e-04   4.632030e+04
   4.30000  -1.524016e+04   1.931313e-03  -1.788124e-04   1.931314e-03  -1.524016e+04   7.666153e-04  -1.788140e-04   7.666175e-04   3.350252e+04
   4.40000  -4.209260e+04  -1.921239e-04   2.533583e-04  -1.921243e-04  -4.209260e+04   4.946082e-04   2.533582e-04   4.946087e-04   3.090633e+04
   4.50000  -6.524698e+04   1.023988e-03   2.255612e-04   1.023987e-03  -6.524699e+04   1.029462e-03   2.255631e-04   1.029461e-03   2.095265e+04
   4.60000  -5.849910e+04   3.396199e-04   1.676167e-03   3.396206e-04  -5.849909e+04  -2.707578e-05   1.676166e-03  -2.707548e-05   2.678443e+04
   4.70000  -6.344283e+04   2.758998e-04   1.699160e-03   2.758996e-04  -6.344283e+04   2.858653e-04   1.699160e-03   2.858651e-04  -1.148845e+04
   4.80000  -3.771410e+04  -2.340605e-04   1.695974e-03  -2.340605e-04  -3.771410e+04   7.403764e-04   1.695974e-03   7.403761e-04  -2.106206e+04
   4.90000  -4.244734e+04  -2.483935e-04   9.574777e-04  -2.483920e-04  -4.244734e+04   4.140944e-04   9.574775e-04   4.140941e-04  -3.016190e+04
   5.00000  -4.111448e+04   7.547267e-04   1.119668e-04   7.547257e-04  -4.111448e+04   4.152233e-04   1.119661e-04   4.152232e-04  -5.994096e+04
   5.10000  -6.784628e+04   5.066080e-04  -9.453876e-04   5.066067e-04  -6.784628e+04   3.629458e-03  -9.453858e-04   3.629458e-03  -8.604916e+04
   5.20000  -7.156606e+04  -1.712079e-04  -1.676130e-03  -1.712088e-04  -7.156605e+04   2.209434e-03  -1.676130e-03   2.209435e-03   2.131230e+04
   5.30000  -3.472414e+04   4.172601e-04  -2.293742e-03   4.172609e-04  -3.472413e+04   2.696552e-04  -2.293739e-03   2.696561e-04   3.197125e+04
   5.40000  -4.068477e+04  -1.610649e-04  -2.772336e-03  -1.610645e-04  -4.068476e+04  -1.239979e-03  -2.772337e-03  -1.239978e-03   3.953762e+04
   5.50000   3.895650e+03   1.697356e-04  -2.698679e-03   1.697359e-04   3.895643e+03  -1.689231e-03  -2.698678e-03  -1.689229e-03   5.148010e+04
   5.60000   1.970440e+04   1.423259e-04  -2.024751e-03   1.423240e-04   1.970439e+04  -2.770151e-03  -2.024752e-03  -2.770154e-03   6.640527e+04
