# omega(eV)            xx             xy             xz             yx             yy             yz             zx             zy             zz (Siemens/meter)
   3.80000   1.043374e+05   1.965193e-04  -8.123292e-04   1.965181e-04   1.043374e+05   1.624686e-04  -8.123289e-04   1.624686e-04   2.527596e+05
   3.90000   1.644409e+05  -2.159490e-05  -5.613893e-04  -2.159410e-05   1.644409e+05  -3.217381e-05  -5.613883e-04  -3.217323e-05   2.092167e+05
   4.00000   2.170059e+05   3.827997e-03  -9.742431e-04   3.827996e-03   2.170059e+05  -7.218146e-04  -9.742438e-04  -7.218134e-04   1.899147e+05
   4.10000   1.975770e+05   2.964125e-03  -6.700370e-04   2.964124e-03   1.975770e+05   3.955231e-04  -6.700371e-04   3.955207e-04   1.758580e+05
   4.20000   1.594517e+05  -8.513142e-04  -3.872312e-04  -8.513153e-04   1.594517e+05   1.175134e-04  -3.872320e-04   1.175148e-04   1.323704e+05
   4.30000   1.511393e+05  -2.724599e-04   4.321653e-05  -2.724597e-04   1.511393e+05  -2.850454e-04   4.321582e-05  -2.850461e-04   1.348505e+05
   4.40000   1.142767e+05   3.966246e-04   2.221774e-04   3.966250e-04   1.142767e+05  -7.477196e-04   2.221778e-04  -7.477194e-04   1.174045e+05
   4.50000   1.459805e+05   4.922184e-04   5.745929e-06   4.922180e-04   1.459805e+05   7.051909e-05   5.745823e-06   7.051905e-05   1.206471e+05
   4.60000   1.425583e+05   4.875345e-04  -1.842469e-04   4.875343e-04   1.425583e+05  -8.822643e-04  -1.842467e-04  -8.822633e-04   9.706806e+04
   4.70000   1.561381e+05  -4.646167e-04  -8.783285e-04  -4.646158e-04   1.561381e+05  -5.387369e-04  -8.783274e-04  -5.387378e-04   8.887686e+04
   4.80000   1.613795e+05  -5.988642e-04  -1.987307e-03  -5.988640e-04   1.613795e+05  -8.596973e-04  -1.987306e-03  -8.596949e-04   1.106095e+05
   4.90000   1.535946e+05  -8.303380e-05  -2.913600e-03  -8.303507e-05   1.535946e+05  -3.293852e-05  -2.913601e-03  -3.293864e-05   1.038229e+05
   5.00000   1.367742e+05   6.092881e-05  -2.669365e-03   6.092762e-05   1.367742e+05  -5.929167e-04  -2.669364e-03  -5.929169e-04   1.150342e+05
   5.10000   1.475216e+05   5.115142e-04  -3.068036e-03   5.115157e-04   1.475216e+05  -1.088423e-03  -3.068036e-03  -1.088423e-03   2.061552e+05
   5.20000   2.046017e+05  -5.055017e-04  -2.583514e-03  -5.055005e-04   2.046017e+05  -4.427887e-03  -2.583515e-03  -4.427887e-03   2.199536e+05
   5.30000   1.873154e+05   4.814571e-04  -1.984883e-03   4.814569e-04   1.873153e+05  -2.255679e-03  -1.984884e-03  -2.255680e-03   1.721782e+05
   5.40000   2.182424e+05   1.896621e-04  -1.350284e-03   1.896622e-04   2.182424e+05  -3.058236e-03  -1.350284e-03  -3.058236e-03   1.746454e+05
   5.50000   2.254375e+05   3.882739e-04  -7.211179e-04   3.882739e-04   2.254375e+05  -3.990953e-03  -7.211200e-04  -3.990954e-03   1.663176e+05
   5.60000   2.185503e+05   9.572248e-05   3.191459e-04   9.572311e-05   2.185503e+05  -2.847640e-03   3.191481e-04  -2.847639e-03   1.365013e+05
   5.70000   1.776018e+05   3.636325e-04   4.839581e-05   3.636343e-04   1.776018e+05   8.839913e-05   4.839714e-05   8.840152e-05   1.108198e+05
   5.80000   1.853278e+05  -8.644271e-05   2.637271e-04  -8.644412e-05   1.853278e+05   2.524547e-04   2.637272e-04   2.524544e-04   1.267307e+05
   5.90000   1.993754e+05   1.145639e-04   1.256548e-04   1.145627e-04   1.993754e+05  -2.630950e-03   1.256552e-04  -2.630951e-03   1.913123e+05
   6.00000   1.714275e+05  -3.425213e-04   3.624469e-04  -3.425221e-04   1.714275e+05  -4.991771e-03   3.624493e-04  -4.991772e-03   2.005948e+05
   6.10000   2.142898e+05  -2.128843e-04   2.689478e-03  -2.128790e-04   2.142898e+05  -4.939527e-03   2.689476e-03  -4.939525e-03   1.550563e+05
   6.20000   1.729665e+05  -1.541594e-04   6.698486e-04  -1.541579e-04   1.729665e+05  -6.513103e-03   6.698501e-04  -6.513105e-03   1.251056e+05
   6.30000   1.571989e+05   1.619787e-04   4.599459e-04   1.619772e-04   1.571989e+05  -3.286238e-03   4.599462e-04  -3.286237e-03   9.078021e+04
   6.40000   1.544640e+05  -1.070655e-03   1.046603e-03  -1.070658e-03   1.544640e+05  -5.744572e-04   1.046601e-03  -5.744572e-04   6.660540e+04
   6.50000   1.312958e+05   2.932129e-04   8.635172e-04   2.932142e-04   1.312958e+05  -6.353116e-04   8.635162e-04  -6.353111e-04   6.088924e+04
   6.60000   1.321345e+05  -7.761919e-04  -2.197175e-04  -7.761909e-04   1.321345e+05  -2.370275e-03  -2.197169e-04  -2.370275e-03   6.720904e+04
   6.70000   1.535381e+05  -1.471636e-05   6.272582e-04  -1.471701e-05   1.535381e+05   2.500042e-04   6.272574e-04   2.500048e-04   7.053878e+04
   6.80000   1.480547e+05   2.493544e-04  -3.767016e-04   2.493549e-04   1.480547e+05  -3.698823e-04  -3.767016e-04  -3.698826e-04   8.023825e+04
   6.90000   1.486962e+05  -4.386266e-04  -1.405374e-03  -4.386265e-04   1.486962e+05   4.540460e-04  -1.405375e-03   4.540455e-04   9.132748e+04
   7.00000   1.351811e+05   3.467527e-04  -1.718786e-03   3.467528e-04   1.351811e+05   5.044817e-04  -1.718788e-03   5.044827e-04   1.167613e+05
   7.10000   1.214792e+05  -5.851556e-04  -3.388908e-03  -5.851533e-04   1.214792e+05   1.758352e-04  -3.388906e-03   1.758347e-04   1.321289e+05
   7.20000   1.150955e+05  -1.179008e-05  -8.582776e-04  -1.179120e-05   1.150955e+05   1.198167e-03  -8.582772e-04   1.198168e-03   1.265737e+05
   7.30000   8.693192e+04   2.903240e-05  -1.587552e-03   2.903280e-05   8.693192e+04   4.977452e-04  -1.587552e-03   4.977455e-04   9.937738e+04
   7.40000   8.811915e+04   4.651001e-04   2.974987e-04   4.650998e-04   8.811915e+04   6.435289e-04   2.974993e-04   6.435274e-04   9.786926e+04
   7.50000   9.470376e+04   3.221413e-04   6.158486e-04   3.221407e-04   9.470376e+04   2.528962e-03   6.158478e-04   2.528962e-03   1.013714e+05
   7.60000   1.042781e+05   5.545530e-04   9.921987e-04   5.545531e-04   1.042781e+05   1.336679e-03   9.921984e-04   1.336679e-03   1.147731e+05
   7.70000   1.080427e+05   4.166517e-04  -1.295554e-04   4.166522e-04   1.080428e+05   3.891975e-03  -1.295552e-04   3.891975e-03   1.131184e+05
   7.80000   1.081881e+05   7.677396e-04   1.856550e-04   7.677390e-04   1.081881e+05   2.593440e-03   1.856544e-04   2.593440e-03   1.268152e+05
   7.90000   9.867731e+04   1.013631e-04   6.853566e-04   1.013638e-04   9.867731e+04   1.669315e-03   6.853570e-04   1.669314e-03   1.230412e+05
   8.00000   8.989829e+04   5.694029e-04   1.300807e-03   5.694030e-04   8.989829e+04   1.057351e-03   1.300806e-03   1.057351e-03   1.247324e+05
   8.10000   8.749581e+04   2.512930e-05   5.443237e-06   2.512902e-05   8.749582e+04   2.383002e-03   5.442696e-06   2.383001e-03   1.222188e+05
   8.20000   1.036069e+05   6.066326e-05   1.260269e-03   6.066311e-05   1.036069e+05   2.286822e-03   1.260269e-03   2.286824e-03   1.226814e+05
   8.30000   1.218788e+05   1.270554e-04   3.539941e-03   1.270547e-04   1.218788e+05   1.156554e-03   3.539942e-03   1.156552e-03   1.202975e+05
   8.40000   1.281163e+05   9.690634e-05   2.255902e-03   9.690528e-05   1.281163e+05   2.007866e-03   2.255902e-03   2.007865e-03   1.137542e+05
   8.50000   1.184230e+05  -3.249545e-06   2.277687e-03  -3.249575e-06   1.184230e+05   1.261198e-03   2.277686e-03   1.261198e-03   9.148330e+04
   8.60000   9.568227e+04  -2.324758e-04   4.586301e-03  -2.324755e-04   9.568227e+04   6.636682e-04   4.586301e-03   6.636694e-04   8.967738e+04
   8.70000   8.181374e+04  -2.255647e-04   5.440712e-04  -2.255651e-04   8.181374e+04   2.347473e-03   5.440711e-04   2.347473e-03   8.347072e+04
   8.80000   8.122808e+04  -3.741614e-04   3.196880e-04  -3.741612e-04   8.122808e+04   3.175827e-03   3.196880e-04   3.175828e-03   1.030333e+05
   8.90000   7.485872e+04   9.759375e-05   8.842554e-04   9.759455e-05   7.485872e+04   4.245469e-03   8.842550e-04   4.245470e-03   1.061764e+05
   9.00000   6.592709e+04  -1.267820e-04  -2.221668e-03  -1.267822e-04   6.592709e+04   3.474504e-03  -2.221668e-03   3.474504e-03   8.539749e+04
   9.10000   7.167083e+04   2.022173e-04  -3.733136e-03   2.022187e-04   7.167083e+04   3.631377e-03  -3.733135e-03   3.631376e-03   9.095137e+04
   9.20000   7.625336e+04   2.014440e-04  -2.876505e-03   2.014441e-04   7.625336e+04   4.544283e-03  -2.876505e-03   4.544283e-03   8.460834e+04
   9.30000   7.604851e+04   2.702456e-04  -2.679545e-03   2.702448e-04   7.604852e+04   5.969494e-03  -2.679545e-03   5.969495e-03   8.296600e+04
   9.40000   8.021945e+04  -1.093278e-04  -2.908445e-03  -1.093271e-04   8.021945e+04   4.379550e-03  -2.908445e-03   4.379549e-03   7.205128e+04
   9.50000   8.950228e+04   3.607833e-04  -3.472135e-03   3.607833e-04   8.950228e+04   4.155350e-03  -3.472135e-03   4.155351e-03   8.010533e+04
   9.60000   8.397901e+04   5.197156e-04  -2.300828e-03   5.197162e-04   8.397901e+04   2.890254e-03  -2.300829e-03   2.890254e-03   6.609594e+04
   9.70000   7.404755e+04   4.770816e-04  -9.938276e-04   4.770812e-04   7.404755e+04   2.218708e-03  -9.938277e-04   2.218708e-03   5.483737e+04
   9.80000   7.253204e+04   3.988259e-04  -6.155423e-04   3.988238e-04   7.253205e+04   3.152667e-03  -6.155424e-04   3.152667e-03   6.234146e+04
   9.90000   7.504083e+04   2.905994e-04  -3.965630e-04   2.906008e-04   7.504084e+04   2.297477e-03  -3.965631e-04   2.297476e-03   5.719617e+04
  10.00000   8.088994e+04   1.407980e-04   3.734973e-05   1.407963e-04   8.088995e+04   1.645123e-03   3.735014e-05   1.645124e-03   6.039067e+04
  10.10000   7.390472e+04  -3.603988e-05  -1.269806e-03  -3.603777e-05   7.390472e+04   2.119022e-03  -1.269806e-03   2.119022e-03   6.394862e+04
  10.20000   7.423020e+04  -8.076889e-05  -2.612362e-03  -8.076840e-05   7.423020e+04   2.594026e-03  -2.612362e-03   2.594026e-03   7.327946e+04
  10.30000   7.785124e+04   5.998369e-05  -5.411887e-04   5.998373e-05   7.785125e+04   1.834159e-03  -5.411886e-04   1.834160e-03   5.882103e+04
  10.40000   7.630290e+04  -2.753245e-04  -2.585821e-04  -2.753241e-04   7.630290e+04   1.361905e-03  -2.585818e-04   1.361905e-03   5.653775e+04
  10.50000   6.701956e+04  -4.454073e-04   6.278072e-04  -4.454078e-04   6.701956e+04   2.304863e-03   6.278076e-04   2.304863e-03   5.668149e+04
  10.60000   6.883786e+04  -4.598050e-04   2.503367e-03  -4.598046e-04   6.883786e+04   1.308618e-03   2.503366e-03   1.308618e-03   5.262578e+04
  10.70000   7.960101e+04  -4.736722e-04   3.005225e-03  -4.736715e-04   7.960101e+04   2.632832e-03   3.005226e-03   2.632831e-03   6.243948e+04
  10.80000   9.910139e+04  -2.554388e-04   6.389247e-04  -2.554394e-04   9.910140e+04   1.886007e-03   6.389244e-04   1.886008e-03   6.095386e+04
  10.90000   8.985306e+04  -2.427128e-04   6.764632e-04  -2.427133e-04   8.985306e+04   1.623313e-03   6.764633e-04   1.623313e-03   5.122255e+04
  11.00000   7.632020e+04  -4.213767e-04   1.089189e-03  -4.213763e-04   7.632020e+04  -2.621577e-04   1.089189e-03  -2.621574e-04   5.305735e+04
  11.10000   6.286291e+04  -1.102003e-04  -1.720523e-04  -1.102004e-04   6.286292e+04   3.305307e-04  -1.720527e-04   3.305308e-04   5.007194e+04
  11.20000   6.234323e+04  -5.192948e-04  -4.495850e-04  -5.192939e-04   6.234323e+04   1.687588e-03  -4.495849e-04   1.687588e-03   5.491107e+04
  11.30000   5.949612e+04   4.089861e-05  -9.562957e-04   4.089816e-05   5.949612e+04   1.905991e-03  -9.562963e-04   1.905991e-03   6.211038e+04
  11.40000   5.855803e+04  -3.698665e-04  -2.110357e-03  -3.698660e-04   5.855803e+04   1.913732e-03  -2.110357e-03   1.913732e-03   6.909099e+04
  11.50000   5.717414e+04   1.044256e-04  -3.374576e-03   1.044250e-04   5.717414e+04   2.819983e-03  -3.374575e-03   2.819984e-03   8.157220e+04
  11.60000   5.872771e+04  -4.535805e-04  -3.577592e-03  -4.535804e-04   5.872771e+04   2.442016e-03  -3.577592e-03   2.442016e-03   8.151836e+04
  11.70000   6.023201e+04  -1.216613e-04  -1.821338e-03  -1.216615e-04   6.023201e+04   1.870058e-03  -1.821338e-03   1.870057e-03   7.886694e+04
  11.80000   6.276118e+04  -4.077323e-04  -1.198986e-03  -4.077335e-04   6.276119e+04  -7.806472e-04  -1.198986e-03  -7.806467e-04   7.987695e+04
  11.90000   7.093618e+04  -1.437490e-05  -1.252451e-03  -1.437362e-05   7.093618e+04   6.538854e-04  -1.252451e-03   6.538858e-04   7.368414e+04
