# omega(eV)            xx             xy             xz             yx             yy             yz             zx             zy             zz
   3.80000   3.868567e+00   1.882804e-08   3.721671e-09   1.882805e-08   3.868567e+00   2.160746e-09   3.721673e-09   2.160726e-09   1.227840e+00
   3.90000   3.979312e+00  -9.257058e-09  -1.709991e-10  -9.257082e-09   3.979312e+00   8.552535e-09  -1.709882e-10   8.552559e-09   2.504023e-01
   4.00000   2.644518e+00   4.271511e-08   8.163627e-10   4.271511e-08   2.644518e+00   1.188809e-08   8.163365e-10   1.188808e-08   1.247323e-01
   4.10000   1.943260e+00  -3.191863e-08   1.297099e-08  -3.191862e-08   1.943260e+00   1.558205e-08   1.297097e-08   1.558206e-08   1.191710e-01
   4.20000   1.509154e+00  -3.338288e-10   7.946629e-09  -3.338080e-10   1.509154e+00  -1.707166e-08   7.946599e-09  -1.707164e-08   2.081452e-01
   4.30000   1.293817e+00  -3.343909e-08   3.099605e-09  -3.343910e-08   1.293817e+00  -1.330886e-08   3.099631e-09  -1.330890e-08   4.479863e-01
   4.40000   1.733010e+00   3.321699e-09  -4.237345e-09   3.321707e-09   1.733010e+00  -8.498982e-09  -4.237345e-09  -8.498991e-09   5.004353e-01
   4.50000   2.104525e+00  -1.682364e-08  -3.724708e-09  -1.682363e-08   2.104525e+00  -1.699146e-08  -3.724741e-09  -1.699144e-08   6.760518e-01
   4.60000   1.970311e+00  -5.402205e-09  -2.711714e-08  -5.402216e-09   1.970311e+00   2.825512e-10  -2.711711e-08   2.825464e-10   5.842459e-01
   4.70000   2.029620e+00  -4.441533e-09  -2.702003e-08  -4.441530e-09   2.029620e+00  -4.611608e-09  -2.702004e-08  -4.611606e-09   1.196643e+00
   4.80000   1.610058e+00   3.527971e-09  -2.658379e-08   3.527970e-09   1.610058e+00  -1.160387e-08  -2.658378e-08  -1.160386e-08   1.344001e+00
   4.90000   1.667687e+00   3.755191e-09  -1.497561e-08   3.755168e-09   1.667687e+00  -6.286768e-09  -1.497561e-08  -6.286764e-09   1.473617e+00
   5.00000   1.631554e+00  -1.121095e-08  -2.061371e-09  -1.121094e-08   1.631554e+00  -6.260990e-09  -2.061360e-09  -6.260988e-09   1.908203e+00
   5.10000   2.009931e+00  -7.310663e-09   1.334052e-08  -7.310643e-09   2.009931e+00  -5.305445e-08   1.334049e-08  -5.305445e-08   2.283614e+00
   5.20000   2.051134e+00   2.377876e-09   2.360460e-08   2.377890e-09   2.051134e+00  -3.219170e-08   2.360459e-08  -3.219171e-08   7.255804e-01
   5.30000   1.511790e+00  -5.788365e-09   3.190708e-08  -5.788377e-09   1.511789e+00  -4.080363e-09   3.190704e-08  -4.080376e-09   5.743846e-01
   5.40000   1.587855e+00   2.241282e-09   3.798996e-08   2.241277e-09   1.587855e+00   1.667891e-08   3.798998e-08   1.667890e-08   4.780121e-01
   5.50000   9.750482e-01  -2.246284e-09   3.638425e-08  -2.246289e-09   9.750483e-01   2.233974e-08   3.638424e-08   2.233970e-08   3.246771e-01
   5.60000   7.643500e-01  -1.877857e-09   2.691391e-08  -1.877832e-09   7.643501e-01   3.643287e-08   2.691392e-08   3.643290e-08   1.347290e-01
   5.70000   5.624988e-01  -9.671225e-09   1.626274e-08  -9.671239e-09   5.624988e-01   2.979176e-08   1.626275e-08   2.979176e-08   5.923754e-01
   5.80000   8.776332e-01  -6.902098e-09   1.914126e-08  -6.902127e-09   8.776332e-01  -1.122099e-08   1.914123e-08  -1.122103e-08   9.786986e-01
   5.90000   6.202151e-01  -3.444185e-09   1.319428e-08  -3.444179e-09   6.202150e-01  -1.722943e-08   1.319431e-08  -1.722943e-08   1.040065e+00
   6.00000   4.542550e-01  -6.654572e-09   3.361876e-08  -6.654530e-09   4.542549e-01  -1.788880e-08   3.361878e-08  -1.788879e-08   6.632355e-02
   6.10000   6.108058e-01  -3.377533e-09   1.515267e-08  -3.377483e-09   6.108059e-01   1.634084e-08   1.515264e-08   1.634084e-08  -2.341429e-01
   6.20000   4.057778e-03   4.509920e-09  -2.533304e-08   4.509883e-09   4.057749e-03   2.472444e-08  -2.533304e-08   2.472444e-08  -3.193646e-01
   6.30000   5.677365e-02  -2.221234e-09   1.616061e-08  -2.221248e-09   5.677366e-02   8.086740e-08   1.616061e-08   8.086740e-08  -2.638150e-01
   6.40000   1.984980e-01  -9.185240e-10  -1.054766e-09  -9.185250e-10   1.984981e-01   5.897189e-08  -1.054785e-09   5.897189e-08   8.428364e-02
   6.50000   1.710402e-01   3.412429e-09   1.958109e-09   3.412442e-09   1.710403e-01   5.179624e-08   1.958123e-09   5.179623e-08   3.061080e-01
   6.60000   4.513136e-01   1.003530e-09  -5.082130e-09   1.003520e-09   4.513136e-01   5.225258e-08  -5.082132e-09   5.225258e-08   6.163242e-01
   6.70000   4.012325e-01  -1.305773e-09  -1.559722e-08  -1.305800e-09   4.012325e-01   3.712231e-08  -1.559722e-08   3.712231e-08   6.844877e-01
   6.80000   2.809895e-01  -1.594211e-09  -7.926208e-09  -1.594196e-09   2.809895e-01   5.199101e-08  -7.926210e-09   5.199100e-08   8.512119e-01
   6.90000   2.265812e-01  -3.370365e-09  -1.670924e-08  -3.370359e-09   2.265812e-01   3.594421e-08  -1.670925e-08   3.594421e-08   9.695590e-01
   7.00000   9.435145e-03   2.779932e-09  -1.263553e-08   2.779934e-09   9.435178e-03   4.426044e-08  -1.263552e-08   4.426044e-08   9.079063e-01
