# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    2    12       0.19331374       0.95040234       0.67443460
    2    13       0.19331374       1.02643453       1.25157514
    2    14       0.19331374       1.10246671       1.69861205
    2    15       0.19331374       1.17849890       2.05456158
    2    16       0.19331374       1.25453109       2.34072748
    2    17       0.19331374       1.33056327       2.56938187
    2    18       0.19331374       1.40659546       2.75055332
    2    19       0.19331374       1.48262765       2.89501851
    2    20       0.19331374       1.55865984       3.00964642
    2    21       0.19331374       1.63469202       3.10032263
    2    22       0.19331374       1.71072421       3.17099985
    2    23       0.19331374       1.78675640       3.22597746
    2    24       0.19331374       1.86278858       3.26825415
    2    25       0.19331374       1.93882077       3.30032114
    2    26       0.19331374       2.01485296       3.32403854
    2    27       0.19331374       2.09088515       3.34098965
    2    28       0.19331374       2.16691733       3.35238012
    2    29       0.19331374       2.24294952       3.35878108
    2    30       0.19331374       2.31898171       3.36097593
    2    31       0.19331374       2.39501389       3.35878031
    2    32       0.19331374       2.47104608       3.35237861
    2    33       0.19331374       2.54707827       3.34098742
    2    34       0.19331374       2.62311046       3.32403564
    2    35       0.19331374       2.69914264       3.30031760
    2    36       0.19331374       2.77517483       3.26825006
    2    37       0.19331374       2.85120702       3.22597287
    2    38       0.19331374       2.92723920       3.17099482
    2    39       0.19331374       3.00327139       3.10031723
    2    40       0.19331374       3.07930358       3.00964064
    2    41       0.19331374       3.15533577       2.89501242
    2    42       0.19331374       3.23136795       2.75054681
    2    43       0.19331374       3.30740014       2.56937497
    2    44       0.19331374       3.38343233       2.34071996
    2    45       0.19331374       3.45946451       2.05455345
    2    46       0.19331374       3.53549670       1.69860306
    2    47       0.19331374       3.61152889       1.25156526
    2    48       0.19331374       3.68756108       0.67442269
    2    49       0.19331374       3.76359326      -0.07409204
    2    50       0.19331374       3.83962545      -0.96599480
    2    51       0.19331374       3.91565764      -1.93901183
    2    52       0.19331374       3.99168982      -2.95439804
    2    53       0.19331374       4.06772201      -3.98038548
    2    54       0.19331374       4.14375420      -5.01128718
    2    55       0.19331374       4.21978639      -6.03665111
    2    56       0.19331374       4.29581857      -7.00455507
    2    57       0.19331374       4.37185076      -7.84310446
    2    58       0.19331374       4.44788295      -8.48404406
    2    59       0.19331374       4.52391513      -8.88119227
