mode,frequency_cm-1,Zmode_x,Zmode_y,Zmode_z,intensity_x,intensity_y,intensity_z,intensity_total
5,39.37966520491987,-0.01810297697764254,0.00809164548606523,5.227124012293663e-15,0.0003277177754530558,6.54747266721598e-05,2.7322825439897005e-29,0.00039319250212521565
6,41.1383996758184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,45.64720108469173,1.0711917464156784e-16,-2.8536201179818477e-16,0.0,1.147451757589071e-32,8.143147777750734e-32,0.0,9.290599535339805e-32
8,52.626044198216626,-1.0297083495032243e-15,-8.280916150948033e-16,0.27377912762398415,1.0602992850366545e-30,6.857357229903199e-31,0.0749550107225498,0.0749550107225498
9,58.1978347200449,0.0,0.0,1.3863910020006642e-14,0.0,0.0,1.9220800104284058e-28,1.9220800104284058e-28
10,93.04882278926443,-1.5434702127503641e-15,2.992397996059992e-16,0.0,2.3823002976476543e-30,8.954445766823857e-32,0.0,2.471844755315893e-30
11,93.69248649010378,0.06614696383176956,-0.001185009975274585,0.0,0.004375420824161431,1.4042486415002725e-06,0.0,0.004376825072802931
12,96.60540437278112,1.1631320906424492e-15,1.1275702593849246e-16,0.0,1.3528762602822746e-30,1.2714146898493862e-32,0.0,1.3655904071807684e-30
13,103.1912724168665,-0.007844885165287491,0.008274459511159071,0.0,6.154222325654774e-05,6.846668020181082e-05,0.0,0.00013000890345835856
14,119.4460224746548,-2.802662615875029e-16,-2.9371036852632315e-16,0.0,7.85491773842346e-32,8.626578057986856e-32,0.0,1.6481495796410316e-31
15,127.19605132961686,0.0,0.0,-1.5220100681749513,0.0,0.0,2.31651464762592,2.31651464762592
16,185.53117997384712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,188.52559210812439,-8.673617379884035e-18,-3.469446951953614e-18,0.0,7.52316384526264e-35,1.2037062152420224e-35,0.0,8.726870060504662e-35
18,196.04218557759717,0.0,0.0,4.163336342344337e-17,0.0,0.0,1.7333369499485123e-33,1.7333369499485123e-33
19,197.07947913419494,0.0,0.0,-0.2654287354687334,0.0,0.0,0.07045241361253086,0.07045241361253086
20,221.24840291679388,-0.08768138814262565,-0.03514417101085736,0.0,0.007688025826617774,0.0012351127560403868,0.0,0.00892313858265816
21,238.05870288104447,0.0,0.0,-0.9227133906855819,0.0,0.0,0.8514000013504833,0.8514000013504833
22,238.8806926123539,0.0,0.0,-2.5854318685958333e-14,0.0,0.0,6.684457947150942e-28,6.684457947150942e-28
23,259.00883783740824,-3.137138986086807e-15,-2.368331225577336e-15,0.0,9.84164101802576e-30,5.608992794044646e-30,0.0,1.5450633812070406e-29
24,261.26462923560274,-0.13546674504425313,-0.10648615505731186,0.0,0.01835123901288468,0.011339301218889864,0.0,0.029690540231774545
25,295.92792589198496,-0.2867169571466688,-0.05148303119341665,0.0,0.0822066135154447,0.0026505025008623116,0.0,0.08485711601630701
26,301.09894774937936,1.336821278674627e-15,9.194034422677078e-17,0.0,1.7870911311172647e-30,8.453026896537102e-33,0.0,1.7955441580138018e-30
27,322.13533661677377,2.9532311925789534e-16,-7.029153734766647e-16,0.0,8.721574476821307e-32,4.94090022269839e-31,0.0,5.81305767038052e-31
28,330.9469628718946,-0.1304238762438493,-0.006628152428932537,0.0,0.017010387494470917,4.393240462116429e-05,0.0,0.01705431989909208
29,333.8816250173979,-2.168404344971009e-18,8.673617379884035e-19,0.0,4.70197740328915e-36,7.52316384526264e-37,0.0,5.454293787815414e-36
30,353.25382459754877,0.020089013799461923,-0.12736260211428074,0.0,0.0004035684754349716,0.01622123241732059,0.0,0.016624800892755563
