# Z-direction plane-averaged electrostatic potential
# iz   z(Angstrom)   V_avg(eV)
   207       16.49109087        3.03320073
   208       16.57075798        3.03371860
   209       16.65042508        3.03413346
   210       16.73009219        3.03447183
   211       16.80975929        3.03473584
   212       16.88942640        3.03495234
   213       16.96909351        3.03511410
   214       17.04876061        3.03524829
   215       17.12842772        3.03534164
   216       17.20809482        3.03542124
   217       17.28776193        3.03547041
   218       17.36742903        3.03551503
   219       17.44709614        3.03553720
   220       17.52676325        3.03556064
   221       17.60643035        3.03556800
   222       17.68609746        3.03557967
   223       17.76576456        3.03558023
   224       17.84543167        3.03558601
   225       17.92509877        3.03558463
   226       18.00476588        3.03558765
   227       18.08443298        3.03558647
   228       18.16410009        3.03558802
   229       18.24376720        3.03558790
   230       18.32343430        3.03558833
   231       18.40310141        3.03558929
   232       18.48276851        3.03558870
   233       18.56243562        3.03559061
   234       18.64210272        3.03558915
   235       18.72176983        3.03559173
   236       18.80143694        3.03558944
   237       18.88110404        3.03559256
   238       18.96077115        3.03558982
   239       19.04043825        3.03559328
   240       19.12010536        3.03559033
   241       19.19977246        3.03559390
   242       19.27943957        3.03559097
   243       19.35910668        3.03559441
   244       19.43877378        3.03559172
   245       19.51844089        3.03559482
   246       19.59810799        3.03559256
   247       19.67777510        3.03559515
   248       19.75744220        3.03559347
   249       19.83710931        3.03559541
   250       19.91677641        3.03559443
   251       19.99644352        3.03559564
   252       20.07611063        3.03559540
   253       20.15577773        3.03559586
   254       20.23544484        3.03559636
   255       20.31511194        3.03559609
   256       20.39477905        3.03559729
   257       20.47444615        3.03559635
   258       20.55411326        3.03559815
   259       20.63378037        3.03559667
   260       20.71344747        3.03559894
   261       20.79311458        3.03559705
   262       20.87278168        3.03559963
   263       20.95244879        3.03559739
   264       21.03211589        3.03560004
   265       21.11178300        3.03559773
   266       21.19145011        3.03560036
   267       21.27111721        3.03559816
   268       21.35078432        3.03560059
   269       21.43045142        3.03559867
   270       21.51011853        3.03560075
   271       21.58978563        3.03559924
   272       21.66945274        3.03560085
   273       21.74911985        3.03559986
   274       21.82878695        3.03560091
   275       21.90845406        3.03560052
   276       21.98812116        3.03560095
   277       22.06778827        3.03560118
   278       22.14745537        3.03560099
   279       22.22712248        3.03560184
   280       22.30678958        3.03560106
   281       22.38645669        3.03560246
   282       22.46612380        3.03560116
   283       22.54579090        3.03560303
   284       22.62545801        3.03560132
   285       22.70512511        3.03560353
   286       22.78479222        3.03560155
   287       22.86445932        3.03560396
