mode,frequency_cm-1,dmu_x,dmu_y,dmu_z,activity_Debye2_per_A2_amu,activity_normalized
7,1287.9275526571118,0.0,0.5995850874759272,0.23983403499037087,0.4170226414632777,0.8055555555555555
8,1287.9275526571118,0.0,-0.23983403499037087,0.5995850874759272,0.4170226414632777,0.8055555555555555
9,1287.9275526571118,-0.5995850874759272,0.0,0.0,0.3595022771235153,0.6944444444444444
10,1516.617741557728,0.0,0.0,0.0,0.0,0.0
11,1516.617741557728,0.0,0.0,0.0,0.0,0.0
12,2968.2881185089723,0.0,0.0,0.0,0.0,0.0
13,3088.0465147825703,0.0,-0.5995850874759272,-0.23983403499037087,0.4170226414632777,0.8055555555555555
14,3088.0465147825703,0.0,0.23983403499037087,-0.5995850874759272,0.4170226414632777,0.8055555555555555
15,3088.0465147825703,0.7195021049711127,0.0,0.0,0.517683279057862,1.0
