     1    O        -0.7597860962
       -0.6072716099       -0.0519861928        0.2226972274
       -0.1517677843       -0.5947634694        0.0587313335
        0.2439084208        0.0533948470       -1.0773232092
     2    O        -0.7431805040
       -0.4210892993       -0.1870013860       -0.1099275660
       -0.2257994947       -0.8658600796       -0.1423041676
       -0.0376754593       -0.1752906536       -0.9425921332
     3    H         0.3130256540
        0.3767127180        0.0580411637       -0.0388294247
        0.0855320911        0.1414113614        0.0121818889
       -0.0604055636       -0.0087254472        0.4209528826
     4    H         0.4366960301
        0.2485964084       -0.0056331351       -0.1804866488
        0.0441184095        0.4474557424        0.1208974412
       -0.1566078046        0.1127812506        0.6140359397
     5    H         0.2850149322
        0.1031350759        0.1931344489       -0.0242452964
        0.1994030344        0.3590912732        0.0585879425
       -0.0462992477        0.0816513420        0.3928184474
     6    H         0.4693455233
        0.2990903561       -0.0069516563        0.1312128953
        0.0496803342        0.5139808495       -0.1082435012
        0.0562956909       -0.0637104831        0.5949653643

Sum of Born charges:       -0.0008263508
