# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    3    14       0.71959957       0.76168292       1.63638019
    3    15       0.75957732       0.83092682       1.47510395
    3    16       0.79955507       0.90017072       1.30527980
    3    17       0.83953283       0.96941462       1.13404243
    3    18       0.87951058       1.03865852       0.97182164
    3    19       0.91948833       1.10790242       0.83189713
    3    20       0.95946609       1.17714632       0.72822848
    3    21       0.99944384       1.24639022       0.67285220
    3    22       1.03942159       1.31563413       0.67285220
    3    23       1.07939935       1.38487803       0.72822848
    3    24       1.11937710       1.45412193       0.83189713
    3    25       1.15935486       1.52336583       0.97182164
    3    26       1.19933261       1.59260973       1.13404243
    3    27       1.23931036       1.66185363       1.30527980
    3    28       1.27928812       1.73109753       1.47510395
    3    29       1.31926587       1.80034144       1.63638018
    3    30       1.35924362       1.86958534       1.78478558
    3    31       1.39922138       1.93882924       1.91783841
    3    32       1.43919913       2.00807314       2.03478026
    3    33       1.47917688       2.07731704       2.13575071
    3    34       1.51915464       2.14656094       2.22151149
    3    35       1.55913239       2.21580484       2.29310191
    3    36       1.59911015       2.28504875       2.35160016
    3    37       1.63908790       2.35429265       2.39818732
    3    38       1.67906565       2.42353655       2.43406673
    3    39       1.71904341       2.49278045       2.46006208
    4     0       0.19988877      -0.27697561       2.44931840
    4     1       0.23986652      -0.20773170       2.46237568
    4     2       0.27984428      -0.13848780       2.46662447
    4     3       0.31982203      -0.06924390       2.46237568
    4     4       0.35979978       0.00000000       2.44931840
    4     5       0.39977754       0.06924390       2.42706661
    4     6       0.43975529       0.13848780       2.39482566
    4     7       0.47973304       0.20773170       2.35160016
    4     8       0.51971080       0.27697561       2.29607083
    4     9       0.55968855       0.34621951       2.22685012
    4    10       0.59966630       0.41546341       2.14237149
    4    11       0.63964406       0.48470731       2.04084305
    4    12       0.67962181       0.55395121       1.92069831
    4    13       0.71959957       0.62319511       1.78042346
    4    14       0.75957732       0.69243901       1.61922354
    4    15       0.79955507       0.76168292       1.43754013
    4    16       0.83953283       0.83092682       1.23757273
    4    17       0.87951058       0.90017072       1.02518035
    4    18       0.91948833       0.96941462       0.81131526
    4    19       0.95946609       1.03865852       0.61186521
    4    20       0.99944384       1.10790242       0.44678413
    4    21       1.03942159       1.17714632       0.33684184
    4    22       1.07939935       1.24639022       0.29818809
    4    23       1.11937710       1.31563413       0.33684184
    4    24       1.15935486       1.38487803       0.44678412
    4    25       1.19933261       1.45412193       0.61186521
    4    26       1.23931036       1.52336583       0.81131525
    4    27       1.27928812       1.59260973       1.02518034
    4    28       1.31926587       1.66185363       1.23757272
    4    29       1.35924362       1.73109753       1.43754013
    4    30       1.39922138       1.80034144       1.61922354
    4    31       1.43919913       1.86958534       1.78042346
    4    32       1.47917688       1.93882924       1.92069831
    4    33       1.51915464       2.00807314       2.04084305
    4    34       1.55913239       2.07731704       2.14237149
    4    35       1.59911015       2.14656094       2.22685012
    4    36       1.63908790       2.21580484       2.29607083
    4    37       1.67906565       2.28504875       2.35160016
    4    38       1.71904341       2.35429265       2.39482566
    4    39       1.75902116       2.42353655       2.42706661
    5     0       0.23986652      -0.34621951       2.41236444
    5     1       0.27984428      -0.27697561       2.43049859
    5     2       0.31982203      -0.20773170       2.43939574
    5     3       0.35979978      -0.13848780       2.43939574
    5     4       0.39977754      -0.06924390       2.43049859
    5     5       0.43975529       0.00000000       2.41236444
    5     6       0.47973304       0.06924390       2.38423177
    5     7       0.51971080       0.13848780       2.34496644
    5     8       0.55968855       0.20773170       2.29310191
    5     9       0.59966630       0.27697561       2.22685012
    5    10       0.63964406       0.34621951       2.14428493
    5    11       0.67962181       0.41546341       2.04290139
    5    12       0.71959957       0.48470731       1.92010516
    5    13       0.75957732       0.55395121       1.77295379
    5    14       0.79955507       0.62319511       1.59877526
    5    15       0.83953283       0.69243901       1.39513189
    5    16       0.87951058       0.76168292       1.16092544
    5    17       0.91948833       0.83092682       0.89926472
    5    18       0.95946609       0.90017072       0.61900620
    5    19       0.99944384       0.96941462       0.33693808
    5    20       1.03942159       1.03865852       0.08003328
    5    21       1.07939935       1.10790242      -0.11806964
    5    22       1.11937710       1.17714632      -0.22636152
    5    23       1.15935486       1.24639022      -0.22636152
    5    24       1.19933261       1.31563413      -0.11806964
    5    25       1.23931036       1.38487803       0.08003328
    5    26       1.27928812       1.45412193       0.33693807
    5    27       1.31926587       1.52336583       0.61900620
    5    28       1.35924362       1.59260973       0.89926471
    5    29       1.39922138       1.66185363       1.16092544
    5    30       1.43919913       1.73109753       1.39513189
    5    31       1.47917688       1.80034144       1.59877526
    5    32       1.51915464       1.86958534       1.77295379
    5    33       1.55913239       1.93882924       1.92010516
    5    34       1.59911015       2.00807314       2.04290138
    5    35       1.63908790       2.07731704       2.14428493
