# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    2    43       0.18842811       3.52106445      -4.26394660
    2    44       0.18842811       3.60200846      -4.63360333
    3     0       0.26379936       0.04047201      -4.02536339
    3     1       0.26379936       0.12141602      -3.90816503
    3     2       0.26379936       0.20236003      -3.56867094
    3     3       0.26379936       0.28330404      -3.03963302
    3     4       0.26379936       0.36424805      -2.36988829
    3     5       0.26379936       0.44519206      -1.61902987
    3     6       0.26379936       0.52613607      -0.85364860
    3     7       0.26379936       0.60708008      -0.14090735
    3     8       0.26379936       0.68802409       0.47140759
    3     9       0.26379936       0.76896810       0.96566339
    3    10       0.26379936       0.84991211       1.35114102
    3    11       0.26379936       0.93085612       1.64661145
    3    12       0.26379936       1.01180013       1.86837829
    3    13       0.26379936       1.09274414       2.03277015
    3    14       0.26379936       1.17368815       2.15253389
    3    15       0.26379936       1.25463216       2.23751743
    3    16       0.26379936       1.33557617       2.29610375
    3    17       0.26379936       1.41652018       2.33486850
    3    18       0.26379936       1.49746419       2.35944837
    3    19       0.26379936       1.57840820       2.37432717
    3    20       0.26379936       1.65935221       2.38245961
    3    21       0.26379936       1.74029622       2.38667067
    3    22       0.26379936       1.82124023       2.38825415
    3    23       0.26379936       1.90218424       2.38825421
    3    24       0.26379936       1.98312825       2.38667085
    3    25       0.26379936       2.06407226       2.38245989
    3    26       0.26379936       2.14501627       2.37432755
    3    27       0.26379936       2.22596028       2.35944878
    3    28       0.26379936       2.30690430       2.33486891
    3    29       0.26379936       2.38784831       2.29610410
    3    30       0.26379936       2.46879232       2.23751763
    3    31       0.26379936       2.54973633       2.15253385
    3    32       0.26379936       2.63068034       2.03276975
    3    33       0.26379936       2.71162435       1.86837736
    3    34       0.26379936       2.79256836       1.64660980
    3    35       0.26379936       2.87351237       1.35113835
    3    36       0.26379936       2.95445638       0.96565942
    3    37       0.26379936       3.03540039       0.47140206
    3    38       0.26379936       3.11634440      -0.14091450
    3    39       0.26379936       3.19728841      -0.85365691
    3    40       0.26379936       3.27823242      -1.61903849
    3    41       0.26379936       3.35917643      -2.36989633
    3    42       0.26379936       3.44012044      -3.03963982
    3    43       0.26379936       3.52106445      -3.56867588
    3    44       0.26379936       3.60200846      -3.90816765
    4     0       0.33917060       0.04047201      -3.19562512
    4     1       0.33917060       0.12141602      -3.09221973
    4     2       0.33917060       0.20236003      -2.79255318
    4     3       0.33917060       0.28330404      -2.32609551
    4     4       0.33917060       0.36424805      -1.73645572
    4     5       0.33917060       0.44519206      -1.07726892
    4     6       0.33917060       0.52613607      -0.41017370
    4     7       0.33917060       0.60708008       0.20580879
    4     8       0.33917060       0.68802409       0.73145612
    4     9       0.33917060       0.76896810       1.15599319
    4    10       0.33917060       0.84991211       1.48863542
    4    11       0.33917060       0.93085612       1.74304634
    4    12       0.33917060       1.01180013       1.93298788
    4    13       0.33917060       1.09274414       2.07216238
    4    14       0.33917060       1.17368815       2.17121916
    4    15       0.33917060       1.25463216       2.23937784
    4    16       0.33917060       1.33557617       2.28401097
    4    17       0.33917060       1.41652018       2.31101707
    4    18       0.33917060       1.49746419       2.32602424
    4    19       0.33917060       1.57840820       2.33277082
    4    20       0.33917060       1.65935221       2.33506897
    4    21       0.33917060       1.74029622       2.33514302
    4    22       0.33917060       1.82124023       2.33484900
    4    23       0.33917060       1.90218424       2.33484908
    4    24       0.33917060       1.98312825       2.33514323
    4    25       0.33917060       2.06407226       2.33506931
    4    26       0.33917060       2.14501627       2.33277125
    4    27       0.33917060       2.22596028       2.32602471
    4    28       0.33917060       2.30690430       2.31101755
    4    29       0.33917060       2.38784831       2.28401138
    4    30       0.33917060       2.46879232       2.23937812
    4    31       0.33917060       2.54973633       2.17121919
    4    32       0.33917060       2.63068034       2.07216205
    4    33       0.33917060       2.71162435       1.93298706
    4    34       0.33917060       2.79256836       1.74304482
    4    35       0.33917060       2.87351237       1.48863300
    4    36       0.33917060       2.95445638       1.15598961
    4    37       0.33917060       3.03540039       0.73145113
    4    38       0.33917060       3.11634440       0.20580234
    4    39       0.33917060       3.19728841      -0.41018132
    4    40       0.33917060       3.27823242      -1.07727701
    4    41       0.33917060       3.35917643      -1.73646340
    4    42       0.33917060       3.44012044      -2.32610201
    4    43       0.33917060       3.52106445      -2.79255789
    4    44       0.33917060       3.60200846      -3.09222221
    5     0       0.41454185       0.04047201      -2.33903611
    5     1       0.41454185       0.12141602      -2.24996531
    5     2       0.41454185       0.20236003      -1.99128808
    5     3       0.41454185       0.28330404      -1.58824423
    5     4       0.41454185       0.36424805      -1.08001811
    5     5       0.41454185       0.44519206      -0.51699644
    5     6       0.41454185       0.52613607       0.04447514
    5     7       0.41454185       0.60708008       0.55726960
    5     8       0.41454185       0.68802409       0.99340403
    5     9       0.41454185       0.76896810       1.34718825
    5    10       0.41454185       0.84991211       1.62512546
    5    11       0.41454185       0.93085612       1.83658576
    5    12       0.41454185       1.01180013       1.99319787
    5    13       0.41454185       1.09274414       2.10551950
    5    14       0.41454185       1.17368815       2.18301695
    5    15       0.41454185       1.25463216       2.23306422
    5    16       0.41454185       1.33557617       2.26196409
    5    17       0.41454185       1.41652018       2.27583245
    5    18       0.41454185       1.49746419       2.27985634
    5    19       0.41454185       1.57840820       2.27783287
    5    20       0.41454185       1.65935221       2.27355183
    5    21       0.41454185       1.74029622       2.26899590
    5    22       0.41454185       1.82124023       2.26638520
    5    23       0.41454185       1.90218424       2.26638529
    5    24       0.41454185       1.98312825       2.26899615
    5    25       0.41454185       2.06407226       2.27355222
    5    26       0.41454185       2.14501627       2.27783337
    5    27       0.41454185       2.22596028       2.27985691
    5    28       0.41454185       2.30690430       2.27583304
    5    29       0.41454185       2.38784831       2.26196461
    5    30       0.41454185       2.46879232       2.23306461
    5    31       0.41454185       2.54973633       2.18301711
    5    32       0.41454185       2.63068034       2.10551932
    5    33       0.41454185       2.71162435       1.99319723
    5    34       0.41454185       2.79256836       1.83658450
    5    35       0.41454185       2.87351237       1.62512338
    5    36       0.41454185       2.95445638       1.34718518
    5    37       0.41454185       3.03540039       0.99339979
    5    38       0.41454185       3.11634440       0.55726409
    5    39       0.41454185       3.19728841       0.04446857
    5    40       0.41454185       3.27823242      -0.51700354
    5    41       0.41454185       3.35917643      -1.08002500
    5    42       0.41454185       3.44012044      -1.58825013
    5    43       0.41454185       3.52106445      -1.99129239
    5    44       0.41454185       3.60200846      -2.24996757
    6     0       0.48991309       0.04047201      -1.48255389
    6     1       0.48991309       0.12141602      -1.40715318
    6     2       0.48991309       0.20236003      -1.18907623
    6     3       0.48991309       0.28330404      -0.85113733
    6     4       0.48991309       0.36424805      -0.42972960
    6     5       0.48991309       0.44519206       0.03022534
    6     6       0.48991309       0.52613607       0.48338798
    6     7       0.48991309       0.60708008       0.89446366
    6     8       0.48991309       0.68802409       1.24438185
    6     9       0.48991309       0.76896810       1.52951048
    6    10       0.48991309       0.84991211       1.75340034
    6    11       0.48991309       0.93085612       1.92240586
    6    12       0.48991309       1.01180013       2.04544447
    6    13       0.48991309       1.09274414       2.13060203
    6    14       0.48991309       1.17368815       2.18528872
    6    15       0.48991309       1.25463216       2.21544605
    6    16       0.48991309       1.33557617       2.22758732
    6    17       0.48991309       1.41652018       2.22705749
    6    18       0.48991309       1.49746419       2.21852452
    6    19       0.48991309       1.57840820       2.20632147
    6    20       0.48991309       1.65935221       2.19384316
    6    21       0.48991309       1.74029622       2.18403540
