# Z-direction plane-averaged electrostatic potential
# iz   z(Angstrom)   V_avg(eV)
   206       16.22043735        2.86361260
   207       16.29917733        2.86397740
   208       16.37791732        2.86431018
   209       16.45665731        2.86453907
   210       16.53539730        2.86476642
   211       16.61413728        2.86490284
   212       16.69287727        2.86505593
   213       16.77161726        2.86513098
   214       16.85035724        2.86523102
   215       16.92909723        2.86526746
   216       17.00783722        2.86532951
   217       17.08657720        2.86534400
   218       17.16531719        2.86537882
   219       17.24405718        2.86538343
   220       17.32279717        2.86539905
   221       17.40153715        2.86540184
   222       17.48027714        2.86540413
   223       17.55901713        2.86540986
   224       17.63775711        2.86540306
   225       17.71649710        2.86541365
   226       17.79523709        2.86540067
   227       17.87397708        2.86541578
   228       17.95271706        2.86539884
   229       18.03145705        2.86541694
   230       18.11019704        2.86539806
   231       18.18893702        2.86541709
   232       18.26767701        2.86539833
   233       18.34641700        2.86541626
   234       18.42515699        2.86539955
   235       18.50389697        2.86541444
   236       18.58263696        2.86540130
   237       18.66137695        2.86541176
   238       18.74011693        2.86540359
   239       18.81885692        2.86540872
   240       18.89759691        2.86540617
   241       18.97633690        2.86540560
   242       19.05507688        2.86540873
   243       19.13381687        2.86540270
   244       19.21255686        2.86541098
   245       19.29129684        2.86540028
   246       19.37003683        2.86541268
   247       19.44877682        2.86539857
   248       19.52751681        2.86541363
   249       19.60625679        2.86539769
   250       19.68499678        2.86541375
   251       19.76373677        2.86539769
   252       19.84247675        2.86541302
   253       19.92121674        2.86539855
   254       19.99995673        2.86541153
   255       20.07869672        2.86540013
   256       20.15743670        2.86540943
   257       20.23617669        2.86540223
   258       20.31491668        2.86540694
   259       20.39365666        2.86540462
   260       20.47239665        2.86540432
   261       20.55113664        2.86540702
   262       20.62987663        2.86540185
   263       20.70861661        2.86540921
   264       20.78735660        2.86539979
   265       20.86609659        2.86541093
   266       20.94483657        2.86539830
   267       21.02357656        2.86541199
   268       21.10231655        2.86539754
   269       21.18105654        2.86541227
   270       21.25979652        2.86539757
   271       21.33853651        2.86541177
   272       21.41727650        2.86539837
   273       21.49601648        2.86541053
   274       21.57475647        2.86539985
   275       21.65349646        2.86540869
   276       21.73223644        2.86540184
   277       21.81097643        2.86540644
   278       21.88971642        2.86540412
   279       21.96845641        2.86540402
   280       22.04719639        2.86540645
   281       22.12593638        2.86540168
   282       22.20467637        2.86540857
   283       22.28341635        2.86539967
   284       22.36215634        2.86541026
   285       22.44089633        2.86539819
   286       22.51963632        2.86541134
   287       22.59837630        2.86539738
