mode,frequency_cm-1,Zmode_x,Zmode_y,Zmode_z,intensity_x,intensity_y,intensity_z,intensity_total
4,96.1323383959179,-0.8917696535803236,-0.050361333550193385,0.0,0.7952531150467703,0.002536263916953834,0.0,0.7977893789637241
5,96.1323383959179,0.050361333550193385,-0.8917696535803288,0.0,0.002536263916953834,0.7952531150467796,0.0,0.7977893789637335
6,105.18164978653334,9.33975119465913e-15,0.0,0.0,8.723095237813663e-29,0.0,0.0,8.723095237813663e-29
7,105.18164978653334,0.0,-1.2351231148954867e-15,0.0,0.0,1.5255291089491295e-30,0.0,1.5255291089491295e-30
8,228.14415586799055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,286.1582786348815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,313.27761338479036,0.0,0.0,-1.310872406770362,0.0,0.0,1.7183864668319218,1.7183864668319218
11,455.5069844785756,-2.7755575615628914e-17,-2.333550019884001e-14,0.0,7.703719777548943e-34,5.445455695300621e-28,0.0,5.445463399020399e-28
12,455.5069844785756,1.2231860489764212e-14,-2.042810365310288e-14,0.0,1.496184110410548e-28,4.1730741886191525e-28,0.0,5.6692582990297004e-28
13,456.72800598939693,-1.1931859994781888,-0.08573235993708332,0.0,1.4236928293507645,0.0073500375403816095,0.0,1.4310428668911461
14,456.72800598939693,0.08573235993708334,-1.1931859994781835,0.0,0.007350037540381612,1.4236928293507516,0.0,1.4310428668911332
15,597.1245996555391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,662.7879025028709,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,670.4533078780789,0.0,2.7755575615628914e-17,0.0,0.0,7.703719777548943e-34,0.0,7.703719777548943e-34
18,670.4533078780789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
